Season,Team,Lg,Salary
2008-09,New York Knicks,NBA,"$2,873,520"
2009-10,New York Knicks,NBA,"$3,089,040"
2010-11,Denver Nuggets,NBA,"$3,304,560"
2011-12,Denver Nuggets,NBA,"$4,190,182"
2012-13,Denver Nuggets,NBA,"$9,439,000"
2013-14,Denver Nuggets,NBA,"$10,146,925"
2014-15,Denver Nuggets,NBA,"$10,854,850"
2015-16,Denver Nuggets,NBA,"$14,000,000"
2016-17,Denver Nuggets,NBA,"$15,050,000"
2017-18,Los Angeles Clippers,NBA,"$20,559,599"
2018-19,Los Angeles Clippers,NBA,"$21,587,579"
Career,(may be incomplete),,"$115,095,255"
