Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1984-85,21,CHI,NBA,SG,4,171,24.7,0.565,0.103,0.744,4.7,12.6,8.4,31.3,3.2,1.5,12.7,28.7,NA,0.6,0.1,0.7,0.198,NA,7.6,1.9,9.5,0.5
1985-86,22,CHI,NBA,SG,3,135,30.1,0.584,0.011,0.411,4,13.6,8.4,26.5,2.5,1.9,11.1,39.2,NA,0.4,0,0.5,0.161,NA,10.1,1.7,11.9,0.4
1986-87,23,CHI,NBA,SG,3,128,28.1,0.529,0.06,0.464,6.3,15,10.2,30.4,2.5,3.4,7.3,38.8,NA,0.3,0.1,0.4,0.165,NA,9.9,2.9,12.7,0.5
1987-88,24,CHI,NBA,SG,10,427,28.4,0.598,0.012,0.381,5.8,12.7,9.2,23.1,2.9,1.5,11.4,35.2,NA,1.3,0.8,2.1,0.234,NA,8.5,3.7,12.2,1.5
1988-89,25,CHI,NBA,SG,17,718,29.9,0.602,0.09,0.587,4.4,14.4,9.6,38,3.1,1.2,12.2,35.4,NA,2.8,1.2,4,0.27,NA,9.1,3.1,12.1,2.5
1989-90,26,CHI,NBA,SG,16,674,31.7,0.592,0.117,0.373,4.2,16.6,10.2,34.5,3.5,1.5,10.1,36.1,NA,2.7,1.3,4,0.284,NA,10.2,3.5,13.7,2.7
1990-91,27,CHI,NBA,SG,17,689,32,0.6,0.069,0.394,3.4,16,9.9,36.7,3.2,2.4,8.9,32.7,NA,3.2,1.5,4.8,0.333,NA,10.5,4.1,14.6,2.9
1991-92,28,CHI,NBA,SG,22,920,27.2,0.571,0.076,0.325,4.9,13.2,9.1,28.3,2.6,1.2,10.9,37.1,NA,2.4,1.7,4.1,0.216,NA,8.3,1.6,9.9,2.8
1992-93,29,CHI,NBA,SG,19,783,30.1,0.553,0.136,0.32,5,14.9,10,29.4,2.7,1.6,7,38,NA,3.3,1.1,4.4,0.27,NA,9.7,1.8,11.6,2.7
1994-95,31,CHI,NBA,SG,10,420,24.8,0.557,0.121,0.319,6,12.7,9.5,22.5,3,2.8,12.7,35.7,NA,0.7,0.6,1.3,0.15,NA,5.8,2.2,8,1
1995-96,32,CHI,NBA,SG,18,733,26.7,0.564,0.152,0.459,4.9,10.2,7.4,21.2,2.5,0.7,7.9,32.9,NA,3.4,1.3,4.7,0.306,NA,8.8,1.9,10.7,2.4
1996-97,33,CHI,NBA,SG,19,804,27.1,0.524,0.135,0.297,5.9,16.4,10.9,25.7,2.1,1.9,8,35.5,NA,2.5,1.5,3.9,0.235,NA,8.1,1.7,9.9,2.4
1997-98,34,CHI,NBA,SG,21,872,28.1,0.545,0.082,0.424,4.5,11,7.6,19.9,2.1,1.1,6.7,36.6,NA,3.6,1.2,4.8,0.265,NA,8,1,9,2.4
Career,NA,,NBA,,179,7474,28.6,0.568,0.099,0.393,4.8,13.8,9.3,28.2,2.7,1.6,9.4,35.6,NA,27.3,12.4,39.8,0.255,NA,8.8,2.3,11.1,24.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13 seasons,NA,CHI,NBA,,179,7474,28.6,0.568,0.099,0.393,4.8,13.8,9.3,28.2,2.7,1.6,9.4,35.6,NA,27.3,12.4,39.8,0.255,NA,8.8,2.3,11.1,24.7
