Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tyrus Thomas,,4.6,2.6,2.4,2.2,1.8,0.1,-0.2,-0.6
Aaron James,86.7,4.3,2.9,2.2,2.1,1.7,NA,NA,NA
Ron Behagen,86.1,4.3,2.4,2.2,2,1.8,0.2,0.1,NA
Scott Padgett,79.8,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Etan Thomas,79.6,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.1
James Bailey,78.8,4.9,2.9,2.3,2,1.9,1,0.6,0.3
Mike Muscala,78.8,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
E.C. Coleman,78.7,3.2,2.7,2.6,2.5,1.7,0.1,NA,NA
Danny Vranes,78.5,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA
Darius Songaila,78.4,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0
Andray Blatche,78.0,4.9,3.4,3,2.4,1.4,0.5,0.1,-0.1
