,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,22,SEA,NBA,PG,64,964,.453,10.6,.792,.358,.175,.132,.127,.208,.476,.605,.324,.321,.481,.364,.563,.028,5,.875,.318,.143,1,0
2002-03,23,MEM,NBA,PG,79,1366,.435,13.6,.767,.258,.143,.120,.246,.233,.463,.554,.429,.404,.417,.341,.446,.018,5,.903,.176,.563,6,0
2003-04,24,MEM,NBA,PG,81,1669,.371,12.8,.772,.334,.121,.075,.241,.228,.408,.561,.232,.314,.313,.245,.342,.009,4,.846,.132,.071,7,1
2004-05,25,MEM,NBA,PG,80,1808,.426,11.9,.706,.395,.094,.051,.166,.294,.471,.521,.365,.500,.402,.319,.147,.016,9,.827,.166,.259,1,0
2005-06,26,TOT,NBA,PG,70,1578,.430,17.0,.466,.206,.092,.057,.110,.534,.460,.543,.404,.552,.304,.404,.284,.008,2,.918,.199,.463,2,0
2005-06,26,DEN,NBA,PG,46,975,.429,17.9,.390,.227,.050,.021,.092,.610,.482,.547,.500,.667,.269,.395,.453,.011,2,.941,.262,.444,2,0
2005-06,26,SEA,NBA,PG,24,603,.432,16.0,.559,.181,.145,.101,.132,.441,.441,.537,.364,.522,.333,.420,.125,.004,0,.881,.090,.556,0,0
2006-07,27,SEA,NBA,PG,77,2152,.383,15.6,.592,.231,.099,.077,.185,.408,.420,.478,.353,.340,.417,.329,.205,.004,2,.772,.179,.320,1,0
2007-08,28,SEA,NBA,PG,78,2269,.454,13.5,.823,.250,.118,.095,.360,.177,.472,.551,.375,.394,.468,.371,.159,.001,1,.816,.167,.455,0,0
2008-09,29,OKC,NBA,PG,68,1776,.384,12.4,.812,.318,.117,.075,.302,.188,.418,.535,.377,.324,.336,.235,.188,.002,1,.800,.188,.250,2,0
2009-10,30,IND,NBA,PG,79,2322,.426,13.3,.649,.309,.160,.063,.116,.351,.500,.611,.464,.333,.344,.288,.271,.002,1,.868,.217,.250,2,0
2010-11,31,UTA,NBA,PG,80,1567,.410,14.9,.651,.248,.140,.078,.186,.349,.450,.592,.302,.250,.456,.336,.378,.007,2,.861,.206,.227,1,0
2011-12,32,UTA,NBA,PG,50,1033,.338,14.1,.675,.200,.275,.088,.113,.325,.407,.625,.341,.286,.278,.192,.295,.000,0,.700,.173,.111,3,0
2012-13,33,UTA,NBA,PG,48,829,.308,11.9,.767,.292,.250,.042,.183,.233,.348,.514,.333,.000,.182,.179,.438,.000,0,.800,.179,.200,1,0
2013-14,34,POR,NBA,PG,24,161,.273,20.5,.364,.000,.182,.000,.182,.636,.250,,.500,,.000,.286,.000,.000,0,1.000,.429,.333,0,0
Career,,,NBA,,878,19494,.411,13.8,.698,.282,.128,.078,.209,.302,.449,.550,.367,.367,.393,.324,.268,.007,32,.847,.188,.315,27,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,"SEA,OKC",NBA,,311,7764,.417,13.9,.724,.261,.120,.090,.254,.276,.446,.534,.362,.373,.420,.342,.216,.005,9,.813,.173,.333,4,0
3 seasons,,MEM,NBA,,240,4843,.410,12.7,.744,.337,.116,.078,.213,.256,.447,.541,.341,.400,.373,.303,.296,.014,18,.853,.158,.298,14,1
3 seasons,,UTA,NBA,,178,3429,.370,14.1,.681,.244,.199,.073,.165,.319,.415,.580,.325,.233,.361,.273,.367,.003,2,.824,.193,.194,5,0
1 season,,IND,NBA,,79,2322,.426,13.3,.649,.309,.160,.063,.116,.351,.500,.611,.464,.333,.344,.288,.271,.002,1,.868,.217,.250,2,0
1 season,,DEN,NBA,,46,975,.429,17.9,.390,.227,.050,.021,.092,.610,.482,.547,.500,.667,.269,.395,.453,.011,2,.941,.262,.444,2,0
1 season,,POR,NBA,,24,161,.273,20.5,.364,.000,.182,.000,.182,.636,.250,,.500,,.000,.286,.000,.000,0,1.000,.429,.333,0,0
