Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1969-70,23,NYA,ABA,PF,59,,12.5,1.9,5.1,.376,0.0,0.1,.000,1.9,5.1,.380,.376,0.9,1.6,.567,1.6,2.8,4.5,0.5,0.9,2.0,4.8
1970-71,24,NYA,ABA,PF,26,,6.3,1.5,3.4,.455,0.0,0.2,.000,1.5,3.2,.476,.455,0.7,1.7,.409,0.8,1.3,2.1,0.1,0.8,0.7,3.8
1971-72,25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1972-73,26,PHI,NBA,PF,5,,6.4,0.0,2.2,.000,,,,0.0,2.2,.000,.000,0.6,1.8,.333,,,0.6,0.0,,0.6,0.6
Career,NA,,TOT,,90,,10.4,1.7,4.5,.383,0.0,0.1,.000,1.7,4.4,.390,.383,0.8,1.7,.507,1.4,2.4,3.6,0.3,0.9,1.5,4.3
,NA,,ABA,,85,,10.6,1.8,4.6,.394,0.0,0.1,.000,1.8,4.5,.401,.394,0.9,1.7,.518,1.4,2.4,3.7,0.4,0.9,1.6,4.5
,NA,,NBA,,5,,6.4,0.0,2.2,.000,,,,0.0,2.2,.000,.000,0.6,1.8,.333,,,0.6,0.0,,0.6,0.6
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,NA,NYA,ABA,,85,,10.6,1.8,4.6,.394,0.0,0.1,.000,1.8,4.5,.401,.394,0.9,1.7,.518,1.4,2.4,3.7,0.4,0.9,1.6,4.5
1 season,NA,PHI,NBA,,5,,6.4,0.0,2.2,.000,,,,0.0,2.2,.000,.000,0.6,1.8,.333,,,0.6,0.0,,0.6,0.6
