Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,CLE,NBA,SF,13,13,604,146,307,0.476,21,63,0.333,125,244,0.512,0.51,87,118,0.737,22,83,105,76,18,9,65,44,400
2006-07,22,CLE,NBA,SF,20,20,893,166,399,0.416,21,75,0.28,145,324,0.448,0.442,148,196,0.755,26,135,161,159,34,10,66,40,501
2007-08,23,CLE,NBA,SF,13,13,552,113,275,0.411,18,70,0.257,95,205,0.463,0.444,122,167,0.731,16,86,102,99,23,17,54,33,366
2008-09,24,CLE,NBA,SF,14,14,580,159,312,0.51,27,81,0.333,132,231,0.571,0.553,149,199,0.749,19,109,128,102,23,12,38,30,494
2009-10,25,CLE,NBA,SF,11,11,460,106,211,0.502,20,50,0.4,86,161,0.534,0.55,88,120,0.733,15,87,102,84,19,20,42,23,320
2010-11,26,MIA,NBA,SF,21,21,922,174,373,0.466,30,85,0.353,144,288,0.5,0.507,119,156,0.763,34,142,176,123,35,25,66,56,497
2011-12,27,MIA,NBA,SF,23,23,983,251,502,0.5,22,85,0.259,229,417,0.549,0.522,173,234,0.739,54,170,224,129,43,16,81,47,697
2012-13,28,MIA,NBA,PF,23,23,960,212,432,0.491,36,96,0.375,176,336,0.524,0.532,136,175,0.777,37,156,193,152,41,18,70,43,596
2013-14,29,MIA,NBA,PF,20,20,763,192,340,0.565,35,86,0.407,157,254,0.618,0.616,129,160,0.806,14,127,141,95,36,11,61,46,548
2014-15,30,CLE,NBA,SF,20,20,844,227,544,0.417,25,110,0.227,202,434,0.465,0.44,122,167,0.731,37,189,226,169,33,21,82,58,601
2015-16,31,CLE,NBA,SF,21,21,822,219,417,0.525,32,94,0.34,187,323,0.579,0.564,82,124,0.661,42,158,200,160,49,27,75,54,552
2016-17,32,CLE,NBA,SF,18,18,744,217,384,0.565,44,107,0.411,173,277,0.625,0.622,113,162,0.698,19,145,164,141,35,23,72,43,591
2017-18,33,CLE,NBA,PF,22,22,922,275,510,0.539,39,114,0.342,236,396,0.596,0.577,159,213,0.746,31,169,200,198,30,23,94,52,748
Career,NA,,NBA,,239,239,10049,2457,5006,0.491,370,1116,0.332,2087,3890,0.537,0.528,1627,2191,0.743,366,1756,2122,1687,419,232,866,569,6911
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,CLE,NBA,,152,152,6421,1628,3359,0.485,247,764,0.323,1381,2595,0.532,0.521,1070,1466,0.73,227,1161,1388,1188,264,162,588,377,4573
4 seasons,NA,MIA,NBA,,87,87,3628,829,1647,0.503,123,352,0.349,706,1295,0.545,0.541,557,725,0.768,139,595,734,499,155,70,278,192,2338
