Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Bob McAdoo,,17.8,15.3,12.3,10.9,9.6,5.8,3.8,3.5,2.9,2.7,2,1.5,0.7,0.2,NA
Willis Reed,81.8,14.7,14.6,10.6,10,7.9,5.8,5.5,3.6,1.5,0.6,NA,NA,NA,NA,NA
Zelmo Beaty,80.1,16,15.1,11.8,10.8,10.3,9,8.4,7.7,5.2,4.8,4.5,2.3,NA,NA,NA
DeAndre Jordan,76.6,12.8,11.8,11.5,11.1,9.4,7.1,6.2,5.6,5.2,1.5,1.3,NA,NA,NA,NA
Neil Johnston,73.6,18.3,15.4,15.3,13.9,13.7,11.3,3.4,0.7,NA,NA,NA,NA,NA,NA,NA
Ed Macauley,72.9,15.9,14.6,14.5,13.8,10.6,8.9,8.3,7.8,6.3,-0.2,NA,NA,NA,NA,NA
Dave Cowens,70.7,12,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,NA,NA,NA,NA
Larry Foust,70.3,13.3,11.1,10.4,7.1,6.4,6.3,4.7,4.5,4.2,3.1,3.1,NA,NA,NA,NA
Bill Cartwright,68.1,10.1,10,9.8,9.7,6.4,5.8,5,4.5,4.2,2.5,2.1,1.3,1.2,0.2,0
Walt Bellamy,66.4,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,5.4,4.9,0.1,NA
Brad Daugherty,65.7,12.7,11.7,9.6,9,6.6,6.4,6,3.1,NA,NA,NA,NA,NA,NA,NA
