Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Joe Dumars,,9.9,9.1,8.8,8.7,8.2,7,6,5.9,5.9,4.4,4.2,3.2,3.2,1.7
Derek Harper,93.6,9.9,9.4,9.1,8,7.6,6.4,6.3,6.2,5.4,4,3.5,2.7,2.7,1.3
Rod Strickland,93.3,9.3,8.8,8.5,8.1,7.4,7.1,5.7,5.2,4.9,4.3,4.1,3.7,3.7,2.2
Jason Terry,91.8,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,4,3.8,1.9
Lenny Wilkens,91.2,10.1,9.6,9.5,9,8.1,7.6,7.6,6.5,5.7,5,4.9,4.9,4,0.4
Andre Miller,90.7,10.3,8.8,8.8,8.3,8,7,7,7,6.2,5.9,5.4,5.3,4.6,2.9
Mitch Richmond,89.4,10.8,9.3,8,7.9,7.1,6.4,5.6,5.2,5.2,4.9,3.3,3.1,1.6,0.9
Dan Majerle,89.0,9.8,9.8,7.7,7.3,7.2,6.1,5.5,5.5,5.3,3.5,3.5,2.6,2.5,2.1
Isiah Thomas,88.5,11.2,9.1,8.8,7.6,7.6,7.4,7,6.7,5.8,3.7,3.4,2.3,0.2,NA
Walter Davis,88.3,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,3.6,3.5,2.7,2,0.6
Earl Monroe,88.2,9.3,8.8,8.3,7.8,7.8,7.2,7.1,6.6,5.8,2.8,2.5,2.5,1.1,NA
