Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,20,GSW,NBA,C,16,0,119,10,32,0.313,0,0,NA,10,32,0.313,0.313,11,17,0.647,7,14,21,9,6,8,8,26,31
2007-08,21,GSW,NBA,C,24,0,99,16,29,0.552,0,0,NA,16,29,0.552,0.552,3,5,0.6,10,19,29,4,4,9,7,27,35
2008-09,22,TOT,NBA,C,39,3,255,45,84,0.536,0,2,0,45,82,0.549,0.536,11,20,0.55,13,53,66,11,6,19,22,61,101
2008-09,22,BOS,NBA,C,26,0,108,16,31,0.516,0,0,NA,16,31,0.516,0.516,8,12,0.667,7,27,34,8,3,8,17,29,40
2008-09,22,TOR,NBA,C,13,3,147,29,53,0.547,0,2,0,29,51,0.569,0.547,3,8,0.375,6,26,32,3,3,11,5,32,61
2009-10,23,TOR,NBA,C,11,0,51,8,15,0.533,0,1,0,8,14,0.571,0.533,3,6,0.5,2,9,11,1,2,4,5,12,19
Career,NA,,NBA,,90,3,524,79,160,0.494,0,3,0,79,157,0.503,0.494,28,48,0.583,32,95,127,25,18,40,42,126,186
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,GSW,NBA,,40,0,218,26,61,0.426,0,0,NA,26,61,0.426,0.426,14,22,0.636,17,33,50,13,10,17,15,53,66
1 season,NA,BOS,NBA,,26,0,108,16,31,0.516,0,0,NA,16,31,0.516,0.516,8,12,0.667,7,27,34,8,3,8,17,29,40
2 seasons,NA,TOR,NBA,,24,3,198,37,68,0.544,0,3,0,37,65,0.569,0.544,6,14,0.429,8,35,43,4,5,15,10,44,80
