Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,20,GSW,NBA,C,16,0,119,3,9.7,0.313,0,0,NA,3,9.7,0.313,3.3,5.1,0.647,2.1,4.2,6.4,2.7,1.8,2.4,2.4,7.9,9.4
2007-08,21,GSW,NBA,C,24,0,99,5.8,10.5,0.552,0,0,NA,5.8,10.5,0.552,1.1,1.8,0.6,3.6,6.9,10.5,1.5,1.5,3.3,2.5,9.8,12.7
2008-09,22,TOT,NBA,C,39,3,255,6.4,11.9,0.536,0,0.3,0,6.4,11.6,0.549,1.6,2.8,0.55,1.8,7.5,9.3,1.6,0.8,2.7,3.1,8.6,14.3
2008-09,22,BOS,NBA,C,26,0,108,5.3,10.3,0.516,0,0,NA,5.3,10.3,0.516,2.7,4,0.667,2.3,9,11.3,2.7,1,2.7,5.7,9.7,13.3
2008-09,22,TOR,NBA,C,13,3,147,7.1,13,0.547,0,0.5,0,7.1,12.5,0.569,0.7,2,0.375,1.5,6.4,7.8,0.7,0.7,2.7,1.2,7.8,14.9
2009-10,23,TOR,NBA,C,11,0,51,5.6,10.6,0.533,0,0.7,0,5.6,9.9,0.571,2.1,4.2,0.5,1.4,6.4,7.8,0.7,1.4,2.8,3.5,8.5,13.4
Career,NA,,NBA,,90,3,524,5.4,11,0.494,0,0.2,0,5.4,10.8,0.503,1.9,3.3,0.583,2.2,6.5,8.7,1.7,1.2,2.7,2.9,8.7,12.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,GSW,NBA,,40,0,218,4.3,10.1,0.426,0,0,NA,4.3,10.1,0.426,2.3,3.6,0.636,2.8,5.4,8.3,2.1,1.7,2.8,2.5,8.8,10.9
1 season,NA,BOS,NBA,,26,0,108,5.3,10.3,0.516,0,0,NA,5.3,10.3,0.516,2.7,4,0.667,2.3,9,11.3,2.7,1,2.7,5.7,9.7,13.3
2 seasons,NA,TOR,NBA,,24,3,198,6.7,12.4,0.544,0,0.5,0,6.7,11.8,0.569,1.1,2.5,0.429,1.5,6.4,7.8,0.7,0.9,2.7,1.8,8,14.5
