Season,Team,Lg,Salary
1985-86,Golden State Warriors,NBA,"$500,000"
1987-88,Golden State Warriors,NBA,"$800,000"
1988-89,Golden State Warriors,NBA,"$700,000"
1989-90,Golden State Warriors,NBA,"$3,330,000"
1990-91,Golden State Warriors,NBA,"$2,850,000"
1991-92,Golden State Warriors,NBA,"$2,844,000"
1992-93,Golden State Warriors,NBA,"$2,844,000"
1993-94,Golden State Warriors,NBA,"$2,844,000"
1994-95,Golden State Warriors,NBA,"$2,844,000"
1995-96,Golden State Warriors,NBA,"$2,844,000"
1996-97,Golden State Warriors,NBA,"$2,844,000"
1997-98,Indiana Pacers,NBA,"$2,941,500"
1998-99,Indiana Pacers,NBA,"$3,510,000"
1999-00,Indiana Pacers,NBA,"$4,079,100"
2000-01,Indiana Pacers,NBA,"$3,650,000"
2000-01,Golden State Warriors,NBA,"$1,000,000"
Career,(may be incomplete),,"$40,424,600"
