Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Don Kojis,,8.3,5,4.8,3.7,3.3,3.2,2.2,1.9,1.5,0.7,0.7,0.5,NA,NA,NA
Dennis Scott,90.6,8.8,5,4.6,3.8,2.8,2.6,2.4,1.5,1.2,0.7,NA,NA,NA,NA,NA
Rodney Rogers,87.1,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2,1.2,0.3,NA,NA,NA
Dave Gambee,86.6,7,5.3,5,4.6,3.3,2.7,2.2,1.9,1.6,1.4,0,NA,NA,NA,NA
Joe Caldwell,86.5,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2,1.1,0.3,NA,NA,NA,NA
Chris Morris,86.0,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.6,1.2,1,NA,NA,NA,NA
Harvey Grant,84.9,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7,NA,NA,NA,NA
Kenny Carr,83.0,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0,NA,NA,NA,NA,NA
Ben Poquette,82.4,5.4,5,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,NA,NA,NA,NA,NA
Stacey Augmon,82.1,9.7,5.6,5.1,3.7,3.7,2.6,2.5,2.3,1.8,1.6,1.5,1.5,1.2,0.7,0.3
Tom Van Arsdale,82.0,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1.1,1,NA,NA,NA
