Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,22,DET,NBA,PG,68,1,11.1,1,2.7,0.364,0,0.3,0.111,1,2.4,0.392,0.37,0.7,0.9,0.81,0.3,0.8,1.1,1.9,0.2,0,1.4,1,2.7
1983-84,23,DET,NBA,PG,16,0,7.4,0.9,2.6,0.333,0.1,0.1,0.5,0.8,2.5,0.325,0.345,0.8,0.8,0.923,0.4,0.8,1.2,1.4,0.3,0,0.6,1.6,2.6
1984-85,24,ATL,NBA,PG,21,2,18,1.6,3,0.54,0,0,1,1.6,3,0.532,0.548,0.7,0.8,0.824,0.4,1.5,1.9,3.1,0.8,0.2,1.9,1.8,4
1985-86,25,DET,NBA,PG,1,0,2,0,1,0,0,0,NA,0,1,0,0,0,0,NA,0,0,0,1,0,0,0,0,0
1986-87,26,IND,NBA,PG,48,0,10.6,1.3,3.4,0.388,0,0.3,0.125,1.3,3.1,0.416,0.394,0.6,0.8,0.73,0.4,0.8,1.1,2.7,0.4,0.1,1.3,1.3,3.3
1987-88,27,DET,NBA,PG,1,0,1,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,1,0,0,0,0,0
Career,NA,,NBA,,155,3,11.4,1.2,2.9,0.393,0,0.2,0.158,1.1,2.7,0.414,0.399,0.6,0.8,0.8,0.3,0.9,1.2,2.3,0.4,0.1,1.3,1.3,3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DET,NBA,,86,1,10.2,0.9,2.7,0.355,0,0.2,0.143,0.9,2.4,0.377,0.362,0.7,0.8,0.831,0.3,0.8,1.1,1.8,0.2,0,1.2,1.1,2.6
1 season,NA,IND,NBA,,48,0,10.6,1.3,3.4,0.388,0,0.3,0.125,1.3,3.1,0.416,0.394,0.6,0.8,0.73,0.4,0.8,1.1,2.7,0.4,0.1,1.3,1.3,3.3
1 season,NA,ATL,NBA,,21,2,18,1.6,3,0.54,0,0,1,1.6,3,0.532,0.548,0.7,0.8,0.824,0.4,1.5,1.9,3.1,0.8,0.2,1.9,1.8,4
