Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,24,CHI,NBA,C,15,0,9.9,0.4,0.9,0.462,0,0,NA,0.4,0.9,0.462,0.462,0.2,0.7,0.3,0.7,1.4,2.1,0.1,0.1,0.5,0.5,1.4,1
2011-12,25,CHI,NBA,C,6,3,21.3,1.2,2.3,0.5,0,0,NA,1.2,2.3,0.5,0.5,1,2.8,0.353,1.3,3.3,4.7,1.3,0.2,1.7,1.3,2.3,3.3
2012-13,26,HOU,NBA,C,6,6,34.7,3.7,6.5,0.564,0,0,NA,3.7,6.5,0.564,0.564,5,7.8,0.638,3.5,7.7,11.2,0.5,0.5,1.7,2,3.7,12.3
2013-14,27,HOU,NBA,C,6,4,27.2,2.7,5.5,0.485,0,0,NA,2.7,5.5,0.485,0.485,0.5,0.5,1,3.5,4.7,8.2,0.7,0.5,0.7,1.8,4.8,5.8
2014-15,28,NOP,NBA,C,4,4,19.8,0.5,2.5,0.2,0,0,NA,0.5,2.5,0.2,0.2,1,1.8,0.571,3,4.3,7.3,1.5,1.3,0,1.3,2.5,2
Career,NA,,NBA,,37,17,19.6,1.4,2.9,0.486,0,0,NA,1.4,2.9,0.486,0.486,1.2,2.3,0.548,1.9,3.6,5.5,0.6,0.4,0.9,1.2,2.6,4.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CHI,NBA,,21,3,13.1,0.6,1.3,0.481,0,0,NA,0.6,1.3,0.481,0.481,0.4,1.3,0.333,0.9,2,2.8,0.4,0.1,0.9,0.7,1.7,1.7
2 seasons,NA,HOU,NBA,,12,10,30.9,3.2,6,0.528,0,0,NA,3.2,6,0.528,0.528,2.8,4.2,0.66,3.5,6.2,9.7,0.6,0.5,1.2,1.9,4.3,9.1
1 season,NA,NOP,NBA,,4,4,19.8,0.5,2.5,0.2,0,0,NA,0.5,2.5,0.2,0.2,1,1.8,0.571,3,4.3,7.3,1.5,1.3,0,1.3,2.5,2
