Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,22,PTP,ABA,,16,NA,9.1,1.6,4.8,0.342,0.2,0.8,0.231,1.4,3.9,0.365,0.362,0.5,0.8,0.615,NA,NA,2.1,0.8,NA,0.6,2.1,3.9
1968-69,23,MNP,ABA,SG,68,NA,15.7,2.3,6.3,0.365,0.4,1.5,0.238,1.9,4.7,0.406,0.394,0.9,1.5,0.612,0.8,1.5,2.3,0.9,NA,1.3,2.1,5.9
1969-70,24,PTP,ABA,PG,70,NA,34.2,5.5,11.1,0.494,0.3,1.1,0.284,5.2,10.1,0.516,0.507,2.4,3.7,0.654,1.7,2.1,3.8,3.2,NA,3,2.8,13.7
1970-71,25,TOT,ABA,,22,NA,8.2,0.9,1.6,0.571,0,0.1,0,0.9,1.5,0.625,0.571,0.8,1.4,0.581,0.4,0.7,1.1,0.8,NA,1,1.5,2.6
1970-71,25,PTC,ABA,,17,NA,7.9,0.9,1.6,0.593,0,0.2,0,0.9,1.4,0.667,0.593,0.7,1.4,0.522,0.5,0.9,1.4,1,NA,0.8,1.5,2.6
1970-71,25,CAR,ABA,,5,NA,9,0.8,1.6,0.5,0,0,NA,0.8,1.6,0.5,0.5,1.2,1.6,0.75,0.2,0,0.2,0,NA,1.6,1.6,2.8
1971-72,26,TOT,ABA,SG,12,NA,9.3,1.1,2.4,0.448,0.1,0.3,0.333,1,2.2,0.462,0.466,0.3,0.3,0.75,0.4,0.8,1.3,1.2,NA,0.7,1.7,2.5
1971-72,26,PTC,ABA,,8,NA,8.9,1.3,2.5,0.5,0.1,0.4,0.333,1.1,2.1,0.529,0.525,0.4,0.5,0.75,0.5,0.5,1,1.5,NA,0.8,1.3,3
1971-72,26,INA,ABA,SG,4,NA,10.3,0.8,2.3,0.333,0,0,NA,0.8,2.3,0.333,0.333,0,0,NA,0.3,1.5,1.8,0.5,NA,0.5,2.5,1.5
Career,NA,,ABA,,188,NA,20.7,3.2,7.1,0.445,0.3,1.1,0.253,2.9,6.1,0.479,0.464,1.4,2.2,0.637,1.1,1.6,2.6,1.8,NA,1.8,2.3,8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"PTP,MNP,PTC",ABA,,179,NA,21.3,3.3,7.4,0.446,0.3,1.1,0.253,3,6.3,0.48,0.465,1.4,2.2,0.635,1.2,1.6,2.7,1.8,NA,1.8,2.3,8.3
1 season,NA,CAR,ABA,,5,NA,9,0.8,1.6,0.5,0,0,NA,0.8,1.6,0.5,0.5,1.2,1.6,0.75,0.2,0,0.2,0,NA,1.6,1.6,2.8
1 season,NA,INA,ABA,,4,NA,10.3,0.8,2.3,0.333,0,0,NA,0.8,2.3,0.333,0.333,0,0,NA,0.3,1.5,1.8,0.5,NA,0.5,2.5,1.5
