Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2003-04,22,MIA,NBA,PG,61,56,2126,9.5,20.5,0.465,0.4,1.4,0.302,9.1,19.1,0.477,6,8,0.747,2.2,4.2,6.3,7.1,2.2,0.9,5,3.6,25.4,NA,101,102
2004-05,23,MIA,NBA,SG,77,77,2974,11.2,23.4,0.478,0.2,0.8,0.289,11,22.6,0.485,10.3,13.5,0.762,2,5.1,7.1,9.2,2.2,1.5,5.7,4.1,33,NA,109,103
2005-06,24,MIA,NBA,SG,75,75,2892,12.7,25.6,0.495,0.2,1.4,0.171,12.4,24.2,0.513,11.4,14.6,0.783,1.9,5.9,7.8,9.1,2.6,1.1,4.9,3.9,37,NA,115,103
2006-07,25,MIA,NBA,SG,51,50,1931,13,26.6,0.491,0.6,2.2,0.266,12.5,24.4,0.511,11.9,14.8,0.807,1.4,5.2,6.6,10.6,3,1.7,6,3.2,38.6,NA,112,103
2007-08,26,MIA,NBA,SG,51,49,1954,12,25.5,0.469,0.6,2.1,0.286,11.4,23.4,0.485,9.6,12.7,0.758,1.2,4.6,5.8,9.6,2.4,1,6.1,3.7,34.1,NA,103,110
2008-09,27,MIA,NBA,SG,79,79,3048,15,30.5,0.491,1.5,4.9,0.317,13.4,25.6,0.524,10.3,13.5,0.765,1.6,5.4,7,10.3,3,1.9,4.8,3.1,41.8,NA,115,105
2009-10,28,MIA,NBA,SG,77,77,2792,13.8,29,0.476,1.4,4.7,0.3,12.4,24.3,0.509,10.2,13.5,0.761,2.1,5.1,7.2,9.6,2.7,1.6,4.8,3.5,39.2,NA,113,103
2010-11,29,MIA,NBA,SG,76,76,2823,12.9,25.9,0.5,1.2,3.9,0.306,11.8,22,0.534,9.2,12.2,0.758,2.3,6.8,9.1,6.5,2.1,1.6,4.4,3.7,36.3,NA,114,102
2011-12,30,MIA,NBA,SG,49,49,1625,13.5,27.1,0.497,0.5,1.8,0.268,13,25.3,0.513,7.6,9.6,0.791,2.4,5.3,7.7,7.3,2.7,2,4.2,3.6,35,NA,112,99
2012-13,31,MIA,NBA,SG,69,69,2391,12.6,24.2,0.521,0.4,1.5,0.258,12.2,22.7,0.537,6.8,9.4,0.725,1.9,5.7,7.6,7.8,2.8,1.2,4.3,3.1,32.4,NA,112,103
2013-14,32,MIA,NBA,SG,54,53,1775,12.3,22.6,0.545,0.3,0.9,0.281,12,21.6,0.557,5.6,7.6,0.733,1.8,5.4,7.1,7.5,2.3,0.9,4.8,3.1,30.5,NA,110,106
2014-15,33,MIA,NBA,SG,62,62,1971,13.6,29,0.47,0.8,2.7,0.284,12.9,26.3,0.489,7.6,9.9,0.768,1.6,4.3,5.9,8,2,0.6,5.6,2.8,35.7,NA,102,108
2015-16,34,MIA,NBA,SG,74,73,2258,12.3,26.9,0.456,0.2,1,0.159,12.1,25.9,0.468,7.3,9.2,0.793,1.9,5,6.9,7.8,1.8,1,4.6,2.6,32,NA,103,106
2016-17,35,CHI,NBA,SG,60,59,1792,11.6,26.8,0.434,1.3,4.1,0.31,10.4,22.8,0.456,6.3,7.9,0.794,1.8,5.8,7.6,6.4,2.4,1.2,3.9,3.1,30.8,NA,103,106
2017-18,36,TOT,NBA,SG,67,3,1536,9.6,21.9,0.438,1,3.6,0.288,8.6,18.3,0.468,4.3,6.1,0.714,1.6,6.5,8.1,7.3,2,1.5,4.5,4,24.6,NA,98,109
2017-18,36,CLE,NBA,SG,46,3,1069,9.1,19.9,0.455,1.1,3.2,0.329,8,16.7,0.479,4.3,6.1,0.701,1.8,6.5,8.3,7.5,1.9,1.5,4.2,3.8,23.5,NA,102,110
2017-18,36,MIA,NBA,SG,21,0,467,10.9,26.6,0.409,1,4.4,0.22,9.9,22.1,0.447,4.4,5.9,0.745,1.2,6.5,7.6,7,2,1.6,5.2,4.3,27.1,NA,90,105
2018-19,37,MIA,NBA,SG,72,2,1885,10.8,24.9,0.433,2.2,6.8,0.33,8.6,18.1,0.472,4.3,6,0.708,1.8,5.6,7.4,7.8,1.5,1,4.3,3.1,28.1,NA,102,109
Career,NA,,NBA,,1054,909,35773,12.4,25.8,0.48,0.8,2.7,0.293,11.6,23.1,0.502,8.4,10.9,0.765,1.8,5.4,7.2,8.4,2.4,1.3,4.9,3.4,33.9,NA,109,104
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15 seasons,NA,MIA,NBA,,948,847,32912,12.5,26,0.483,0.8,2.7,0.29,11.8,23.3,0.505,8.6,11.3,0.765,1.8,5.3,7.2,8.5,2.4,1.3,5,3.4,34.5,NA,109,104
1 season,NA,CHI,NBA,,60,59,1792,11.6,26.8,0.434,1.3,4.1,0.31,10.4,22.8,0.456,6.3,7.9,0.794,1.8,5.8,7.6,6.4,2.4,1.2,3.9,3.1,30.8,NA,103,106
1 season,NA,CLE,NBA,,46,3,1069,9.1,19.9,0.455,1.1,3.2,0.329,8,16.7,0.479,4.3,6.1,0.701,1.8,6.5,8.3,7.5,1.9,1.5,4.2,3.8,23.5,NA,102,110
