Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Tom Owens,,10.4,8.3,8,6.9,6.9,6,4.8,3.2,2.9,2.5,0.9,0.6
Marcus Camby,93.3,10.3,8.5,7.6,6.9,5.9,5.8,5.5,3.7,3.5,2.1,1.5,0.9
Joakim Noah,91.2,11.2,9,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1
Marcin Gortat,90.9,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,1.4,0.1
Zydrunas Ilgauskas,90.7,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5,2.5,2.5,0.7,0.5
Swen Nater,89.4,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,NA
Dave Robisch,89.4,10.1,9.1,8.6,8.5,7.8,5.2,5,4.2,2.3,2.3,0.7,0.4
Arnie Risen,88.9,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,NA,NA
Jim Eakins,88.3,9,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,NA,NA
Clifford Ray,86.8,8.7,8.2,8.1,7,6.9,6.7,5.7,3.8,1.9,-0.3,NA,NA
Brook Lopez,86.7,9,7.9,7,6.7,6.3,6.2,5.8,4.9,3.8,2.3,0.3,NA
