Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Steven Hunter,,2.8,2.6,2.5,1,0.9,0.6,0.1,0.1
Mikki Moore,90.0,2.8,2.6,2.2,1,0.6,0.1,0.1,0.1
Jake Voskuhl,87.3,3.3,2.7,2.5,1.7,1,0.6,0.2,0
Jake Tsakalidis,83.7,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA
Jeff Wilkins,82.8,2.4,2.3,2.3,1,0.5,0.3,NA,NA
Ekpe Udoh,82.3,3.2,2.7,2.1,1.6,0.7,0.3,0,NA
Hub Reed,81.7,2.8,2,1.7,1.3,1,0.6,0,NA
Miles Plumlee,78.7,4,2.6,2.2,0.9,0.5,0.5,0,NA
Victor Alexander,77.9,3,2.5,2.3,1.1,-0.1,NA,NA,NA
Meyers Leonard,77.7,3,2.8,2.4,2.2,1.4,1.1,0.6,NA
Hank Finkel,77.2,3.4,3.4,2.3,1.2,1,0.9,0.9,0
