Season,Team,Lg,Salary
2005-06,New Orleans/Oklahoma City Hornets,NBA,"$3,144,240"
2006-07,New Orleans/Oklahoma City Hornets,NBA,"$3,380,160"
2007-08,New Orleans Hornets,NBA,"$3,615,960"
2008-09,New Orleans Hornets,NBA,"$4,574,189"
2009-10,New Orleans Hornets,NBA,"$13,520,500"
2010-11,New Orleans Hornets,NBA,"$14,940,153"
2011-12,Los Angeles Clippers,NBA,"$16,359,805"
2012-13,Los Angeles Clippers,NBA,"$17,779,458"
2013-14,Los Angeles Clippers,NBA,"$18,668,431"
2014-15,Los Angeles Clippers,NBA,"$20,068,563"
2015-16,Los Angeles Clippers,NBA,"$21,468,696"
2016-17,Los Angeles Clippers,NBA,"$22,868,827"
2017-18,Houston Rockets,NBA,"$24,599,495"
2018-19,Houston Rockets,NBA,"$35,654,150"
Career,(may be incomplete),,"$220,642,627"
