Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Will Bynum,,1.9,1.7,1.5,1.3,1,-0.1,-0.2,-0.2
Jerry Fleishman,78.3,2.2,2.1,1.6,1.3,0.6,NA,NA,NA
Med Park,78.2,1.9,1.9,1.8,1.6,0.4,NA,NA,NA
Dion Waiters,78.1,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA
Elston Turner,77.7,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2
Juan Dixon,77.2,2,1.7,1.4,1.2,0.4,0.1,-0.5,NA
Joe Hassett,76.1,2,1.6,1.4,0.9,0.5,0,NA,NA
Lee Mayberry,75.8,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,NA
Dave Wohl,74.1,2.1,1.7,1.4,1,0.2,0,-0.2,NA
Mike Evans,74.0,2.9,1.9,1.6,1.1,0.9,0.1,-0.1,-0.2
Tony Smith,73.2,1.7,1.5,1.3,1.3,0.6,0.5,0.1,-0.1
