Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Dave Robisch,,10.1,9.1,8.6,8.5,7.8,5.2,5,4.2,2.3,2.3,0.7,0.4,0.1,NA,NA
Tom Owens,89.3,10.4,8.3,8,6.9,6.9,6,4.8,3.2,2.9,2.5,0.9,0.6,NA,NA,NA
Clyde Lovellette,89.2,10.1,9,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,NA,NA,NA,NA
Zydrunas Ilgauskas,88.2,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5,2.9,2.5,2.5,0.7,0.5,NA,NA
Joakim Noah,87.5,11.2,9,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1,NA,NA,NA
Billy Paultz,87.5,9,8.9,8.7,8.6,7,5.6,5.3,5.1,5,4,2.7,0.3,0.3,0.1,0
Brad Miller,86.8,10,9.6,9.1,8.6,8.3,6.5,5.1,4,3.8,3.4,3,2.7,2.1,0.2,NA
Swen Nater,86.3,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,NA,NA,NA,NA
Bill Cartwright,86.2,10.1,10,9.8,9.7,6.4,5.8,5,4.5,4.2,2.5,2.1,1.3,1.2,0.2,0
Arnie Risen,85.3,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,NA,NA,NA,NA,NA
Jim Eakins,84.5,9,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,NA,NA,NA,NA,NA
