Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,24,TOT,ABA,PG,64,NA,15.9,2.3,6.3,0.371,0.2,0.8,0.241,2.1,5.5,0.391,0.387,0.8,1,0.766,NA,NA,1.7,2.1,NA,1.9,1.3,5.7
1967-68,24,ANA,ABA,PG,23,NA,27,3.6,9.3,0.39,0.3,1,0.333,3.3,8.2,0.397,0.408,1.3,1.7,0.744,NA,NA,3.1,3.2,NA,3,2,8.8
1967-68,24,DNR,ABA,PG,41,NA,9.7,1.6,4.7,0.351,0.1,0.7,0.167,1.5,3.9,0.385,0.364,0.5,0.6,0.8,NA,NA,0.8,1.4,NA,1.2,0.9,3.9
1968-69,25,DNR,ABA,PG,59,NA,16.6,1.8,4.7,0.386,0.1,0.5,0.161,1.7,4.2,0.415,0.395,1.2,1.4,0.812,0.2,1.3,1.6,2.3,NA,1.6,1.8,4.9
1969-70,26,DNR,ABA,PG,83,NA,29.7,3.6,9.3,0.386,0.8,2.1,0.354,2.8,7.2,0.395,0.426,1.8,2.3,0.786,0.6,2.2,2.8,5.4,NA,2.5,2.5,9.8
1970-71,27,TOT,ABA,PG,80,NA,19.5,2.2,6.1,0.366,0.2,1.1,0.205,2,5,0.401,0.384,1,1.2,0.823,0.5,1.3,1.8,3.2,NA,1.8,1.6,5.7
1970-71,27,UTS,ABA,PG,38,NA,25.9,3.1,8.9,0.344,0.4,2,0.187,2.7,6.9,0.389,0.365,1.2,1.6,0.797,0.7,1.6,2.3,4.1,NA,2.5,2,7.7
1970-71,27,NYA,ABA,PG,42,NA,13.8,1.5,3.6,0.413,0.1,0.3,0.308,1.4,3.3,0.423,0.427,0.8,0.9,0.865,0.2,1,1.3,2.3,NA,1.2,1.2,3.8
1971-72,28,DLC,ABA,PG,20,NA,13.1,1.5,4.3,0.349,0.2,0.4,0.429,1.4,4,0.342,0.366,0.9,1,0.85,0.4,0.9,1.3,1.8,NA,0.7,1,4
Career,NA,,ABA,,306,NA,20.5,2.5,6.6,0.377,0.3,1.2,0.285,2.2,5.5,0.396,0.402,1.2,1.5,0.799,0.5,1.6,2,3.3,NA,1.9,1.8,6.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DNR,ABA,,183,NA,21,2.6,6.8,0.381,0.4,1.3,0.305,2.2,5.5,0.398,0.41,1.3,1.7,0.795,0.5,1.8,2,3.5,NA,1.9,1.9,6.9
2 seasons,NA,"ANA,UTS",ABA,,61,NA,26.3,3.3,9,0.362,0.4,1.6,0.222,2.9,7.4,0.392,0.382,1.2,1.6,0.776,0.7,1.6,2.6,3.8,NA,2.7,2,8.1
1 season,NA,NYA,ABA,,42,NA,13.8,1.5,3.6,0.413,0.1,0.3,0.308,1.4,3.3,0.423,0.427,0.8,0.9,0.865,0.2,1,1.3,2.3,NA,1.2,1.2,3.8
1 season,NA,DLC,ABA,,20,NA,13.1,1.5,4.3,0.349,0.2,0.4,0.429,1.4,4,0.342,0.366,0.9,1,0.85,0.4,0.9,1.3,1.8,NA,0.7,1,4
