Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,22,NJN,NBA,PG,50,17,25.3,4.2,11.4,0.371,0.4,1.6,0.225,3.9,9.8,0.395,0.387,1.3,1.6,0.778,0.8,2,2.8,4.2,1.6,0.3,2.2,2.2,10.1
1990-91,23,NJN,NBA,PG,72,70,35.9,6,14.4,0.416,0.2,1.3,0.154,5.8,13.2,0.441,0.423,1.9,2.4,0.79,0.9,2.5,3.5,6.1,2.3,0.6,2.9,2.5,14.1
1991-92,24,NJN,NBA,PG,72,67,35.4,6,13.8,0.432,0.2,0.8,0.222,5.8,13,0.444,0.438,1.8,2.5,0.712,1.4,2.3,3.7,6.8,2.4,0.6,2.1,2.5,13.8
1992-93,25,ATL,NBA,PG,80,78,35.3,5.2,12.1,0.429,1.5,3.9,0.375,3.7,8.1,0.456,0.491,1.5,2.1,0.728,1.1,2.4,3.5,8.4,2.5,0.3,2.3,2,13.4
1993-94,26,ATL,NBA,PG,81,81,36,5.5,13.3,0.411,1.4,4.2,0.334,4.1,9.1,0.447,0.464,1.4,2,0.73,1.4,3.8,5.2,9.7,2.6,0.5,2.4,1.8,13.8
1994-95,27,ATL,NBA,PG,80,80,38.4,6.4,15,0.425,2.5,6.9,0.359,3.9,8,0.482,0.508,2,2.7,0.729,1.5,3.5,4.9,7.7,2.5,0.3,3,2.1,17.2
1995-96,28,ATL,NBA,PG,81,81,35.7,5.6,13.9,0.405,2.9,7.7,0.371,2.8,6.2,0.448,0.508,1.6,2.1,0.747,1.4,2.7,4.1,5.9,2.6,0.2,2.3,1.9,15.7
1996-97,29,ATL,NBA,PG,78,78,39.2,6.4,14.9,0.432,2.8,7.7,0.366,3.6,7.1,0.505,0.528,1.7,2.2,0.753,1.5,3.8,5.3,5.9,2.7,0.3,2.4,1.8,17.4
1997-98,30,ATL,NBA,PG,70,69,38.6,5.3,13.4,0.392,1.3,4.8,0.269,4,8.6,0.46,0.44,1.4,1.9,0.709,1.2,3.7,4.9,6.7,2.6,0.3,2.5,1.7,13.2
1998-99,31,ATL,NBA,PG,48,48,36.7,5.1,13.6,0.379,1.6,5.2,0.307,3.5,8.3,0.425,0.439,1.4,1.9,0.758,0.9,3.7,4.7,5.8,2.1,0.2,2.4,1.3,13.3
1999-00,32,GSW,NBA,PG,73,72,33.7,4.5,11.5,0.391,1.4,4.1,0.336,3.1,7.3,0.422,0.451,0.9,1.3,0.705,0.8,2.9,3.7,6.7,2,0.3,2,1.7,11.3
2000-01,33,GSW,NBA,PG,69,59,34.1,4.6,11.6,0.396,1.1,3.3,0.324,3.5,8.3,0.424,0.441,0.8,1.1,0.697,1,2.9,3.9,6.7,2.4,0.3,1.9,1.9,11
2001-02,34,GSW,NBA,PG,35,0,17.1,1.4,4.2,0.342,0.4,1.2,0.357,1,3,0.337,0.394,0.1,0.2,0.5,0.2,1.3,1.5,3.3,0.7,0.1,1.1,0.6,3.4
Career,NA,,NBA,,889,800,34.9,5.3,12.9,0.409,1.4,4.3,0.336,3.8,8.6,0.445,0.465,1.4,1.9,0.736,1.1,3,4.1,6.7,2.3,0.3,2.3,1.9,13.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,ATL,NBA,,518,515,37.1,5.7,13.7,0.413,2,5.8,0.347,3.6,7.9,0.462,0.487,1.6,2.1,0.735,1.3,3.3,4.6,7.3,2.6,0.3,2.5,1.8,14.9
3 seasons,NA,NJN,NBA,,194,154,33,5.5,13.4,0.412,0.2,1.2,0.196,5.3,12.3,0.433,0.421,1.7,2.2,0.756,1.1,2.3,3.4,5.9,2.2,0.5,2.4,2.4,13
3 seasons,NA,GSW,NBA,,177,131,30.6,3.9,10.1,0.389,1.1,3.2,0.333,2.9,6.9,0.415,0.442,0.7,1,0.693,0.8,2.6,3.4,6,1.9,0.3,1.7,1.6,9.6
