Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Dave Wohl,,2.1,1.7,1.4,1,0.2,0,-0.2
Joe Hassett,88.1,2,1.6,1.4,0.9,0.5,0,NA
Keyon Dooling,86.5,2.1,1.5,1.4,1.1,0.3,0.3,0
Nelson Bobb,86.0,2,1.8,1.2,1.1,NA,NA,NA
Tim Frazier,85.2,2.4,2,1.4,1,-0.1,NA,NA
Juan Dixon,84.1,2,1.7,1.4,1.2,0.4,0.1,-0.5
Brian Roberts,82.1,2.2,2.2,1.8,1,0.2,NA,NA
Elston Turner,81.1,2.3,1.4,1.3,1.2,0.3,0.1,-0.2
Mike Barr,80.3,2.7,1.7,1.4,0.7,0.4,NA,NA
Todd Lichti,79.8,1.8,1.3,1.2,1,0.2,NA,NA
Lee Mayberry,77.7,2.1,1.8,1.6,1.6,0.4,0.4,-0.1
