Season,Team,Lg,Salary
2008-09,San Antonio Spurs,NBA,"$1,006,200"
2009-10,San Antonio Spurs,NBA,"$1,081,680"
2010-11,San Antonio Spurs,NBA,"$1,157,160"
2011-12,Indiana Pacers,NBA,"$2,086,360"
2012-13,Indiana Pacers,NBA,"$8,000,000"
2013-14,Indiana Pacers,NBA,"$8,000,000"
2014-15,Indiana Pacers,NBA,"$8,000,000"
2015-16,Indiana Pacers,NBA,"$8,000,000"
2016-17,Utah Jazz,NBA,"$8,000,000"
2017-18,Cleveland Cavaliers,NBA,"$20,000,000"
2018-19,Milwaukee Bucks,NBA,"$19,000,000"
Career,(may be incomplete),,"$84,331,400"
