Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,27,KEN,ABA,SG,77,NA,41.5,8.4,20.1,0.416,1.1,3.1,0.357,7.3,17,0.427,0.443,5.1,6.2,0.825,NA,NA,4.6,2.2,NA,NA,3,3.4,22.9
1968-69,28,KEN,ABA,SG,73,NA,39.2,7.7,18.8,0.406,1.7,4.5,0.379,5.9,14.3,0.415,0.452,6.1,7.5,0.82,1,2.8,3.9,2.9,NA,NA,2.9,3.1,23.2
1969-70,29,KEN,ABA,SG,77,NA,36.4,7.9,18.9,0.417,1.4,3.6,0.375,6.5,15.3,0.427,0.453,5.9,6.6,0.892,0.6,2.7,3.2,2.8,NA,NA,2.8,3.5,23.1
1970-71,30,KEN,ABA,SG,84,NA,31.7,5.9,13.6,0.434,0.8,1.9,0.391,5.1,11.7,0.441,0.462,3.9,4.5,0.867,0.6,2.2,2.8,2.9,NA,NA,2.4,2.7,16.4
1971-72,31,KEN,ABA,SG,23,NA,27.3,5.1,12.5,0.406,0.7,1.6,0.432,4.4,10.9,0.402,0.434,3.3,3.8,0.864,0.5,2,2.5,1.9,NA,NA,1.7,2.8,14.2
1972-73,32,MMT,ABA,SG,16,NA,11.9,1.4,3.8,0.383,0.3,0.8,0.417,1.1,3,0.375,0.425,1.5,1.6,0.923,0.1,0.8,0.9,0.6,NA,NA,0.9,1.3,4.7
Career,NA,,ABA,,350,NA,35.3,7,16.8,0.417,1.1,3,0.377,5.8,13.7,0.425,0.451,4.9,5.8,0.851,0.7,2.4,3.4,2.6,NA,NA,2.6,3.1,20
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,KEN,ABA,,334,NA,36.4,7.3,17.4,0.417,1.2,3.1,0.377,6.1,14.3,0.426,0.451,5.1,6,0.85,0.7,2.5,3.5,2.7,NA,NA,2.7,3.1,20.8
1 season,NA,MMT,ABA,,16,NA,11.9,1.4,3.8,0.383,0.3,0.8,0.417,1.1,3,0.375,0.425,1.5,1.6,0.923,0.1,0.8,0.9,0.6,NA,NA,0.9,1.3,4.7
