Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Tom Gola,,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,NA,NA,NA,NA
Andy Phillip,92.7,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,NA,NA,NA,NA
Goran Dragić,90.2,10.3,7.5,6.8,5.7,5.3,5.1,4.7,2.8,1.6,1,0.1,NA,NA,NA
Sleepy Floyd,89.3,10,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1,0.9,-0.2,-0.4,NA
Allan Houston,88.6,8.6,7.5,7.2,7.1,6.1,4.7,4.7,3.8,3.1,2.9,0.7,-1.2,NA,NA
José Calderón,88.2,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4,3.7,1.8,0.9,0.9,0.6,0.3
Pete Maravich,87.6,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1,NA,NA,NA,NA
Norm Nixon,87.5,9.6,6.7,6.6,5.5,5.4,4.5,3.9,3.7,2,-0.4,NA,NA,NA,NA
Michael Adams,87.2,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,NA,NA,NA
Alvin Robertson,87.2,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,NA,NA,NA,NA
Dick Snyder,87.2,10,8,6.4,6.2,6.2,6,4.1,3.7,3.4,1.8,0.9,0.9,0.6,NA
