Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Quinton Ross,,3.2,1.7,1.6,0.7,0.6,0,-0.1
Ronald Murray,88.4,3.1,1.7,1.3,0.7,0.4,-0.3,-0.3
Greg Minor,88.2,3,2.1,1.7,0.8,0.6,NA,NA
Mike Barr,85.1,2.7,1.7,1.4,0.7,0.4,NA,NA
Tyus Edney,83.3,3.3,1.5,1.4,0.5,NA,NA,NA
Al Ferrari,83.3,3.3,1.9,1.4,1.4,0.9,0,NA
Bucky Bockhorn,82.1,3.1,1.5,1.3,1.1,0.5,0.3,0.1
Anthony Goldwire,81.7,3,1.7,1.5,0.3,0.1,0.1,-0.1
Anthony Johnson,80.0,3.6,1.8,1.1,0.7,0.4,0.3,-0.2
Alan Anderson,79.8,2.7,1.7,1.6,0.4,0.3,0.3,0.1
Johnny Neumann,78.6,4.6,2,1.6,0.8,0.6,0,-0.1
