Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,DLC,ABA,C,20,NA,18.5,2.5,4.5,0.551,0,0,NA,2.5,4.5,0.551,0.551,1.7,3.1,0.532,NA,NA,5.7,0.1,1.1,3.3,6.6
1968-69,26,TOT,ABA,C,36,NA,13.8,2.1,4.8,0.439,0,0,0,2.1,4.7,0.441,0.439,1.6,2.5,0.633,1.7,2.3,4,0.2,0.9,2.4,5.8
1968-69,26,DLC,ABA,C,24,NA,15.7,2.8,6.1,0.452,0,0,0,2.8,6,0.455,0.452,1.8,2.9,0.6,1.8,2.8,4.6,0.3,1,2.6,7.3
1968-69,26,NOB,ABA,C,3,NA,3.7,0.7,1.7,0.4,0,0,NA,0.7,1.7,0.4,0.4,0,0,NA,1.3,0,1.3,0,0.3,0.7,1.3
1968-69,26,KEN,ABA,C,9,NA,11.9,0.8,2.2,0.35,0,0,NA,0.8,2.2,0.35,0.35,1.7,2.2,0.75,1.4,1.9,3.3,0.2,0.8,2.2,3.2
Career,NA,,ABA,,56,NA,15.4,2.2,4.6,0.477,0,0,0,2.2,4.6,0.479,0.477,1.6,2.7,0.592,1.7,2.3,4.6,0.2,0.9,2.7,6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DLC,ABA,,44,NA,17,2.6,5.3,0.489,0,0,0,2.6,5.3,0.491,0.489,1.7,3,0.568,1.8,2.8,5.1,0.2,1,2.9,6.9
1 season,NA,KEN,ABA,,9,NA,11.9,0.8,2.2,0.35,0,0,NA,0.8,2.2,0.35,0.35,1.7,2.2,0.75,1.4,1.9,3.3,0.2,0.8,2.2,3.2
1 season,NA,NOB,ABA,,3,NA,3.7,0.7,1.7,0.4,0,0,NA,0.7,1.7,0.4,0.4,0,0,NA,1.3,0,1.3,0,0.3,0.7,1.3
