Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,TOT,ABA,C,78,NA,26.8,3.8,9.7,0.396,0,0,0,3.8,9.7,0.396,0.396,2.1,2.9,0.699,4.1,5.7,9.8,1.2,NA,NA,1.2,3.2,9.7
1968-69,23,KEN,ABA,C,31,NA,21.7,2.8,7.7,0.37,0,0,NA,2.8,7.7,0.37,0.37,1.5,2.2,0.687,2.8,4.7,7.5,1,NA,NA,1,3.3,7.2
1968-69,23,NYA,ABA,C,20,NA,35.7,4.8,14.5,0.332,0,0.1,0,4.8,14.4,0.333,0.332,2.9,4.1,0.716,6.7,7.5,14.2,2,NA,NA,1.7,3.1,12.5
1968-69,23,DLC,ABA,C,27,NA,26,4.3,8.5,0.502,0,0,NA,4.3,8.5,0.502,0.502,2.1,3,0.691,3.8,5.3,9.1,0.7,NA,NA,1.2,3.3,10.6
1969-70,24,DLC,ABA,C,84,NA,36.7,7.6,15.3,0.494,0,0,0,7.6,15.3,0.495,0.494,3.6,5.1,0.713,5.1,7.4,12.5,1.2,NA,NA,2.2,3.4,18.8
1970-71,25,TOT,ABA,C,80,NA,32.7,6.4,13.5,0.472,0,0,0,6.4,13.5,0.473,0.472,3.5,4.8,0.732,4,6.7,10.7,1.3,NA,NA,2.1,2.6,16.2
1970-71,25,TEX,ABA,C,40,NA,29.7,5.9,13.2,0.448,0,0,NA,5.9,13.2,0.448,0.448,3.7,5.1,0.738,4.5,7.2,11.8,1.4,NA,NA,1.8,2.6,15.5
1970-71,25,NYA,ABA,C,40,NA,35.7,6.9,13.8,0.495,0,0,0,6.9,13.8,0.496,0.495,3.3,4.5,0.726,3.4,6.2,9.6,1.2,NA,NA,2.5,2.7,17
1971-72,26,TOT,ABA,C,69,NA,20.9,3.5,8.4,0.414,0,0,0,3.5,8.4,0.415,0.414,1.1,1.8,0.612,2.1,3.9,6,0.8,NA,NA,1.1,2,8
1971-72,26,NYA,ABA,C,9,NA,15.8,2.7,7.9,0.338,0,0,NA,2.7,7.9,0.338,0.338,0.7,1,0.667,1.2,3.6,4.8,0.4,NA,NA,0.6,1.1,6
1971-72,26,UTS,ABA,C,42,NA,13.7,2.2,6,0.367,0,0,NA,2.2,6,0.367,0.367,0.9,1.5,0.6,2,2.6,4.6,0.6,NA,NA,0.7,1.7,5.3
1971-72,26,FLO,ABA,C,18,NA,40.3,6.9,14.3,0.481,0,0.1,0,6.9,14.3,0.482,0.481,1.6,2.6,0.617,2.8,6.9,9.8,1.4,NA,NA,2.2,3.1,15.4
1972-73,27,PHI,NBA,C,82,NA,30.9,4.6,11.4,0.404,NA,NA,NA,4.6,11.4,0.404,0.404,1.8,2.4,0.72,NA,NA,8.3,1.2,NA,NA,NA,2.3,11
1973-74,28,CAP,NBA,C,53,NA,15.9,1.5,4.4,0.341,NA,NA,NA,1.5,4.4,0.341,0.341,1.1,1.6,0.699,1.8,2.8,4.6,0.5,0.2,0.7,NA,1.8,4.1
Career,NA,,TOT,,446,NA,28.3,4.8,10.9,0.44,0,0,0,4.8,10.9,0.44,0.44,2.3,3.2,0.707,3.6,5.5,9,1.1,0.2,0.7,1.7,2.6,11.9
,NA,,ABA,,311,NA,29.7,5.4,11.9,0.455,0,0,0,5.4,11.9,0.456,0.455,2.6,3.7,0.706,3.9,6,9.9,1.1,NA,NA,1.7,2.8,13.5
,NA,,NBA,,135,NA,25,3.4,8.6,0.391,NA,NA,NA,3.4,8.6,0.391,0.391,1.5,2.1,0.714,1.8,2.8,6.8,0.9,0.2,0.7,NA,2.1,8.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"DLC,TEX",ABA,,151,NA,32.9,6.5,13.5,0.483,0,0,0,6.5,13.5,0.484,0.483,3.4,4.7,0.717,4.7,7,11.7,1.2,NA,NA,1.9,3.1,16.5
1 season,NA,PHI,NBA,,82,NA,30.9,4.6,11.4,0.404,NA,NA,NA,4.6,11.4,0.404,0.404,1.8,2.4,0.72,NA,NA,8.3,1.2,NA,NA,NA,2.3,11
3 seasons,NA,NYA,ABA,,69,NA,33.1,5.7,13.2,0.432,0,0,0,5.7,13.2,0.432,0.432,2.8,3.9,0.721,4.1,6.2,10.3,1.3,NA,NA,2,2.6,14.2
1 season,NA,CAP,NBA,,53,NA,15.9,1.5,4.4,0.341,NA,NA,NA,1.5,4.4,0.341,0.341,1.1,1.6,0.699,1.8,2.8,4.6,0.5,0.2,0.7,NA,1.8,4.1
1 season,NA,UTS,ABA,,42,NA,13.7,2.2,6,0.367,0,0,NA,2.2,6,0.367,0.367,0.9,1.5,0.6,2,2.6,4.6,0.6,NA,NA,0.7,1.7,5.3
1 season,NA,KEN,ABA,,31,NA,21.7,2.8,7.7,0.37,0,0,NA,2.8,7.7,0.37,0.37,1.5,2.2,0.687,2.8,4.7,7.5,1,NA,NA,1,3.3,7.2
1 season,NA,FLO,ABA,,18,NA,40.3,6.9,14.3,0.481,0,0.1,0,6.9,14.3,0.482,0.481,1.6,2.6,0.617,2.8,6.9,9.8,1.4,NA,NA,2.2,3.1,15.4
