Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jim Les,,3.6,2.3,1.3,0.3,0.3,0.2,0.1
Billy Ray Bates,83.8,3.6,2.4,0.9,0,NA,NA,NA
Tyus Jones,83.0,3.6,3,1.5,0.3,NA,NA,NA
Ron Sobie,82.8,3.6,2.6,0.9,0.1,NA,NA,NA
Khalid Reeves,81.8,3.5,2.5,1.2,1.1,0.1,0,NA
Roger Phegley,81.5,3.7,2.6,1.6,0.8,0,-0.1,NA
Mike Butler,79.7,3.1,2.3,1.6,0.1,NA,NA,NA
Jerian Grant,78.3,3.3,2.5,1.7,0.8,NA,NA,NA
Terry Furlow,77.2,3.3,2.8,1.1,0,NA,NA,NA
Pep Saul,77.0,4.2,2.8,1.5,0.8,0.6,NA,NA
Louie Nelson,76.8,2.9,2.3,1.1,0,0,NA,NA
