,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,22,DAL,NBA,PF,82,3125,.474,14.7,.687,.212,.098,.166,.212,.313,.513,.705,.295,.478,.451,.387,.602,.036,44,.947,.290,.398,4,0
2001-02,23,DAL,NBA,C,76,2891,.477,14.2,.722,.241,.078,.154,.249,.278,.508,.611,.347,.438,.502,.397,.610,.039,45,.964,.100,.343,0,0
2002-03,24,DAL,NBA,PF,80,3117,.463,15.3,.738,.163,.076,.200,.299,.262,.493,.700,.363,.513,.400,.379,.587,.028,41,.905,.156,.443,2,0
2003-04,25,DAL,NBA,C,77,2915,.462,15.3,.779,.154,.085,.198,.342,.221,.496,.658,.387,.471,.464,.341,.670,.028,35,.970,.097,.357,3,0
2004-05,26,DAL,NBA,PF,78,3020,.459,14.5,.842,.181,.072,.203,.386,.158,.470,.637,.452,.410,.427,.399,.491,.035,48,.802,.105,.333,2,0
2005-06,27,DAL,NBA,PF,81,3089,.480,14.4,.827,.158,.099,.263,.307,.173,.496,.591,.419,.491,.475,.406,.438,.017,23,.909,.063,.588,5,0
2006-07,28,DAL,NBA,PF,78,2820,.502,13.8,.871,.180,.082,.255,.353,.129,.515,.603,.409,.500,.504,.416,.468,.016,20,.778,.075,.462,2,0
2007-08,29,DAL,NBA,PF,77,2769,.479,13.9,.833,.170,.105,.264,.294,.167,.504,.592,.420,.484,.500,.359,.486,.014,19,.962,.091,.350,1,0
2008-09,30,DAL,NBA,PF,81,3050,.479,13.8,.895,.144,.085,.327,.339,.105,.493,.601,.401,.489,.474,.359,.520,.009,14,.967,.041,.000,0,0
2009-10,31,DAL,NBA,PF,81,3039,.481,13.7,.919,.162,.082,.290,.384,.081,.487,.621,.439,.442,.473,.421,.587,.018,24,.980,.017,1.000,0,0
2010-11,32,DAL,NBA,PF,73,2504,.517,14.4,.858,.128,.130,.256,.344,.142,.538,.709,.477,.500,.526,.393,.590,.008,9,.970,.226,.553,1,0
2011-12,33,DAL,NBA,PF,62,2079,.457,15.6,.795,.105,.088,.297,.305,.205,.481,.661,.407,.407,.511,.368,.580,.004,4,.923,.057,.250,0,0
2012-13,34,DAL,NBA,PF,53,1661,.471,16.3,.784,.077,.069,.312,.327,.216,.487,.625,.380,.463,.500,.414,.586,.007,5,.985,.032,.400,0,0
2013-14,35,DAL,NBA,PF,80,2628,.497,16.7,.742,.064,.071,.322,.285,.258,.532,.778,.578,.485,.518,.398,.500,.008,10,.947,.027,.111,0,0
2014-15,36,DAL,NBA,PF,77,2282,.459,16.9,.742,.066,.070,.283,.323,.258,.486,.700,.365,.478,.475,.380,.640,.004,4,.981,.040,.364,0,0
2015-16,37,DAL,NBA,PF,75,2364,.448,16.6,.692,.075,.068,.261,.289,.308,.483,.735,.329,.476,.461,.368,.632,.004,5,.984,.102,.314,0,0
2016-17,38,DAL,NBA,PF,54,1424,.437,18.0,.692,.062,.053,.217,.360,.308,.463,.571,.444,.476,.439,.378,.770,.003,2,1.000,.057,.417,0,0
2017-18,39,DAL,NBA,C,77,1900,.456,19.2,.555,.044,.028,.201,.284,.445,.494,.758,.476,.474,.470,.409,.774,.003,1,1.000,.045,.467,1,0
2018-19,40,DAL,NBA,PF,51,795,.359,20.9,.455,.011,.064,.144,.237,.545,.415,.750,.292,.481,.393,.312,.817,.005,2,1.000,.098,.350,1,0
Career,,,NBA,,1393,47472,.472,15.2,.783,.139,.082,.247,.315,.217,.497,.645,.407,.472,.474,.383,.566,.017,355,.946,.099,.394,22,0
