Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,27,HOU,NBA,PF,82,39,2024,6.1,11.9,0.515,0,0.1,0,6.1,11.9,0.517,2.8,4.2,0.668,3.1,6.2,9.3,1.9,1.1,0.3,1.9,4.2,15.1
2008-09,28,HOU,NBA,PF,82,82,2488,6.1,11.6,0.531,0,0,0,6.1,11.5,0.533,2.8,3.7,0.76,2.9,7.5,10.4,1.8,1,0.2,1.8,3.8,15.1
2009-10,29,HOU,NBA,PF,82,82,2671,7.5,14.7,0.514,0,0.1,0.2,7.5,14.6,0.515,2.8,3.6,0.779,2.4,7.1,9.5,2.3,0.8,0.4,2.2,3.3,17.9
2010-11,30,HOU,NBA,PF,74,74,2412,8.5,16.9,0.504,0,0,0,8.5,16.8,0.505,3.2,4.3,0.738,2.2,6.9,9,2.8,0.7,0.7,2.2,3.4,20.2
2011-12,31,HOU,NBA,PF,66,66,2067,7.6,15.5,0.491,0,0.1,0,7.6,15.4,0.493,2.7,3.4,0.773,2.1,5.3,7.5,2.4,0.6,0.4,2.7,3.7,17.9
2012-13,32,PHO,NBA,PF,82,67,2184,7.1,15.1,0.472,0,0.3,0.188,7.1,14.8,0.477,3,3.8,0.787,2.6,6.3,8.9,3,1.1,0.6,2.1,4.2,17.3
2013-14,33,IND,NBA,PF,82,2,1399,6.8,14.4,0.47,0,0.2,0.143,6.7,14.2,0.474,2.5,3.5,0.728,2.2,7.8,10.1,2.1,0.7,0.4,2.8,4.2,16.1
2014-15,34,IND,NBA,PF,81,16,1659,6.5,13.9,0.467,0.1,0.4,0.25,6.4,13.5,0.474,3.4,4.9,0.699,3,8.4,11.4,2.3,1,0.4,2,4.2,16.6
2015-16,35,TOR,NBA,PF,76,76,1636,5.9,13.2,0.45,1.4,3.5,0.404,4.5,9.6,0.467,1.3,1.8,0.726,1.8,6.1,7.9,1.5,1,0.6,1.5,3.9,14.6
2016-17,36,BRK,NBA,PF,36,1,461,5.5,11.8,0.47,1.3,3.9,0.34,4.2,7.9,0.535,2,2.9,0.676,4,6.9,10.9,2.9,1.1,0.3,2.7,4.9,14.4
Career,NA,,NBA,,743,505,19001,7,14.1,0.493,0.2,0.5,0.339,6.8,13.6,0.499,2.8,3.7,0.74,2.5,6.8,9.4,2.3,0.9,0.4,2.1,3.9,16.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,HOU,NBA,,386,343,11662,7.2,14.1,0.51,0,0.1,0.059,7.2,14.1,0.512,2.9,3.9,0.744,2.5,6.7,9.2,2.2,0.8,0.4,2.1,3.7,17.3
2 seasons,NA,IND,NBA,,163,18,3058,6.6,14.2,0.468,0.1,0.3,0.222,6.6,13.8,0.474,3,4.3,0.71,2.6,8.2,10.8,2.2,0.9,0.4,2.4,4.2,16.4
1 season,NA,PHO,NBA,,82,67,2184,7.1,15.1,0.472,0,0.3,0.188,7.1,14.8,0.477,3,3.8,0.787,2.6,6.3,8.9,3,1.1,0.6,2.1,4.2,17.3
1 season,NA,TOR,NBA,,76,76,1636,5.9,13.2,0.45,1.4,3.5,0.404,4.5,9.6,0.467,1.3,1.8,0.726,1.8,6.1,7.9,1.5,1,0.6,1.5,3.9,14.6
1 season,NA,BRK,NBA,,36,1,461,5.5,11.8,0.47,1.3,3.9,0.34,4.2,7.9,0.535,2,2.9,0.676,4,6.9,10.9,2.9,1.1,0.3,2.7,4.9,14.4
