Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1996-97,21,CLE,NBA,C,80,3,1238,8.7,19.8,0.44,0,0.1,0.5,8.7,19.7,0.439,4.3,5.8,0.736,4.9,5.2,10.1,1.9,1.2,1.6,5.1,10.1,21.7,NA,91,104
1997-98,22,CLE,NBA,C,80,0,1412,8.9,18.5,0.48,0,0,0,8.9,18.4,0.48,3.9,5.4,0.708,4.2,7.7,11.8,2.2,1,1.1,5,7.5,21.6,NA,93,101
1998-99,23,TOT,NBA,C,50,44,1394,7.8,15.8,0.495,0,0,0,7.8,15.8,0.496,3.5,5.9,0.587,4.4,8.4,12.7,2.9,1.3,1.4,3.8,6.5,19.1,NA,98,102
1998-99,23,CLE,NBA,C,17,12,467,6.5,15,0.437,0,0.1,0,6.5,14.9,0.44,3.9,5.8,0.673,2.7,8.4,11.2,1.9,1.3,1.9,3.3,6.3,17,NA,91,101
1998-99,23,BOS,NBA,C,33,32,927,8.4,16.2,0.521,0,0,NA,8.4,16.2,0.521,3.3,6,0.547,5.2,8.3,13.5,3.3,1.4,1.1,4.1,6.6,20.1,NA,101,102
1999-00,24,BOS,NBA,C,79,72,1797,8.7,17.4,0.499,0,0,0,8.7,17.3,0.5,3.1,4.5,0.681,5.1,9,14.1,2.2,1.2,0.8,4.1,6.7,20.4,NA,100,106
2000-01,25,BOS,NBA,C,82,7,1901,6.8,14.2,0.476,0,0,NA,6.8,14.2,0.476,3.1,4.3,0.728,5.6,7.9,13.5,1.7,1.4,0.6,2.9,6.2,16.7,NA,103,104
2001-02,26,BOS,NBA,C,79,9,1343,5.3,11.6,0.455,0,0,NA,5.3,11.6,0.455,3.4,4.6,0.742,6.5,7,13.4,1.2,1.4,0.7,2.4,6.7,14,NA,107,102
2002-03,27,SEA,NBA,C,26,2,403,5.5,12.6,0.441,0,0,NA,5.5,12.6,0.441,3,3.9,0.759,3.4,8.7,12,0.5,1.2,1.1,3.4,6.2,14.1,NA,90,104
2003-04,28,SEA,NBA,C,65,39,1419,7.5,15.4,0.489,0,0,NA,7.5,15.4,0.489,2.2,3.5,0.641,3.8,7.1,10.9,2,0.8,1.1,2.9,6.1,17.3,NA,100,110
2004-05,29,SEA,NBA,C,33,1,335,7.3,14.2,0.517,0,0.2,0,7.3,14,0.523,4.4,5.1,0.871,4.9,7.8,12.7,1.5,1.1,0.5,2,8.6,19.1,NA,122,110
2005-06,30,TOT,NBA,C,33,12,353,5.5,10.5,0.521,0,0,NA,5.5,10.5,0.521,1.5,2.5,0.588,4,5.5,9.5,1.3,0.3,0.3,2.4,7.4,12.5,NA,105,117
2005-06,30,SEA,NBA,C,24,12,321,5.2,10.4,0.5,0,0,NA,5.2,10.4,0.5,1.6,2.8,0.588,4.2,5.9,10.1,1.1,0.3,0.3,2.3,7.2,12.1,NA,104,118
2005-06,30,SAC,NBA,C,9,0,32,8.2,11.4,0.714,0,0,NA,8.2,11.4,0.714,0,0,NA,1.6,1.6,3.3,3.3,0,0,3.3,9.8,16.3,NA,112,112
2006-07,31,SAC,NBA,C,3,0,13,0,15.6,0,0,0,NA,0,15.6,0,0,0,NA,0,7.8,7.8,0,0,0,7.8,11.7,0,NA,0,111
Career,NA,,NBA,,610,189,11608,7.5,15.6,0.479,0,0,0.167,7.5,15.6,0.479,3.3,4.7,0.694,4.9,7.6,12.4,1.9,1.2,1,3.6,7,18.2,NA,99,105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,BOS,NBA,,273,120,5968,7.3,14.9,0.488,0,0,0,7.3,14.9,0.488,3.2,4.7,0.682,5.6,8.1,13.7,2,1.3,0.8,3.3,6.5,17.8,NA,102,104
3 seasons,NA,CLE,NBA,,177,15,3117,8.4,18.4,0.458,0,0.1,0.25,8.4,18.4,0.459,4,5.7,0.714,4.2,6.9,11.1,2,1.1,1.4,4.8,8.3,21,NA,92,102
4 seasons,NA,SEA,NBA,,148,54,2478,6.9,14.1,0.487,0,0,0,6.9,14.1,0.488,2.6,3.7,0.698,3.9,7.3,11.2,1.6,0.9,0.9,2.8,6.6,16.3,NA,102,110
2 seasons,NA,SAC,NBA,,12,0,45,5.7,12.6,0.455,0,0,NA,5.7,12.6,0.455,0,0,NA,1.1,3.4,4.6,2.3,0,0,4.6,10.3,11.5,NA,68,112
