Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,22,STL,NBA,PF,65,NA,17,2.4,6,0.402,1,1.8,0.567,NA,NA,5.4,0.7,NA,NA,2.7,5.9
1966-67,23,CHI,NBA,PF,77,NA,19.2,3.3,7.8,0.417,1.1,2.1,0.553,NA,NA,6.1,0.7,NA,NA,2.4,7.7
1967-68,24,CHI,NBA,C,82,NA,30.8,5.1,11.2,0.457,2.3,3.3,0.682,NA,NA,10.1,1.4,NA,NA,2.8,12.5
1968-69,25,CHI,NBA,SF,80,NA,33.8,5.5,12.8,0.43,3,4.5,0.677,NA,NA,10.6,1.3,NA,NA,2.8,14
1969-70,26,PHI,NBA,PF,79,NA,31.1,5.1,10.7,0.476,2.6,3.5,0.747,NA,NA,9.3,1.3,NA,NA,3.3,12.7
1970-71,27,PHI,NBA,PF,78,NA,32.1,5.1,10.6,0.476,3.3,4.4,0.762,NA,NA,9.6,1.2,NA,NA,3.3,13.4
1971-72,28,TOT,NBA,PF,84,NA,35.3,4.7,10.5,0.444,3,3.8,0.793,NA,NA,8.8,1.7,NA,NA,3.3,12.4
1971-72,28,PHI,NBA,PF,17,NA,32.1,4,9.2,0.436,3.2,3.9,0.821,NA,NA,7.9,1.5,NA,NA,3.5,11.2
1971-72,28,ATL,NBA,PF,67,NA,36.1,4.9,10.9,0.446,3,3.8,0.785,NA,NA,9,1.8,NA,NA,3.2,12.7
1972-73,29,ATL,NBA,PF,75,NA,37.8,4.1,9.5,0.432,2.2,3,0.728,NA,NA,10.7,2.3,NA,NA,3.4,10.4
1973-74,30,ATL,NBA,PF,73,NA,34.5,4.1,8.4,0.485,1.8,2.7,0.684,2.8,7.2,10.1,2.1,0.7,1,3.4,10
1974-75,31,TOT,NBA,PF,80,NA,19.7,2.4,5.3,0.454,0.8,1.2,0.667,1.4,3.5,4.9,1.4,0.4,0.3,2.1,5.6
1974-75,31,ATL,NBA,PF,38,NA,23.8,3,6.8,0.44,1.1,1.4,0.745,1.4,3.7,5.1,1.8,0.6,0.3,2.3,7.1
1974-75,31,BUF,NBA,PF,42,NA,16,1.8,3.9,0.475,0.5,0.9,0.553,1.4,3.3,4.7,1,0.3,0.3,1.9,4.2
1975-76,32,BUF,NBA,PF,1,NA,7,0,1,0,0,0,NA,1,0,1,1,0,0,0,0
Career,NA,,NBA,,774,NA,29.3,4.2,9.4,0.449,2.1,3,0.705,2.1,5.2,8.6,1.4,0.5,0.6,2.9,10.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"STL,ATL",NBA,,318,NA,30.7,3.8,8.5,0.444,1.9,2.7,0.713,2.3,6,8.4,1.8,0.6,0.8,3.1,9.5
3 seasons,NA,CHI,NBA,,239,NA,28.1,4.6,10.6,0.437,2.2,3.3,0.654,NA,NA,9,1.1,NA,NA,2.7,11.4
3 seasons,NA,PHI,NBA,,174,NA,31.6,5,10.5,0.473,3,3.9,0.762,NA,NA,9.3,1.3,NA,NA,3.3,12.9
2 seasons,NA,BUF,NBA,,43,NA,15.8,1.8,3.8,0.472,0.5,0.9,0.553,1.4,3.2,4.6,1,0.3,0.3,1.9,4.1
