Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Jim Ard,,1,1,0.9,0.8,0.6,0.4,-0.1,-0.4,NA,NA,NA,NA,NA
Joe Ellis,70.8,1.3,1.3,1.1,1,0.5,0.4,-0.2,-0.3,NA,NA,NA,NA,NA
Darvin Ham,66.0,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,NA,NA,NA,NA,NA
Major Jones,60.9,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA,NA,NA,NA,NA,NA
Cartier Martin,60.4,1.3,0.8,0.7,0.7,0.4,0.1,-0.2,NA,NA,NA,NA,NA,NA
Lance Thomas,60.3,1.7,1.2,1.2,0.9,0.9,0.1,-0.1,-0.4,NA,NA,NA,NA,NA
Malik Allen,60.2,1.1,1,1,1,0.9,0.7,0.5,0.3,0.2,0.1,NA,NA,NA
Charles Davis,59.3,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3,NA,NA,NA,NA,NA
Greg Foster,58.9,1.3,1,1,0.6,0.6,0.5,0.4,0.2,0.1,0.1,0,0,-0.3
Anthony Randolph,56.5,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
John Wallace,55.2,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA,NA,NA,NA,NA
