Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Álex Abrines,,2.2,2.1,0.6
John Paxson,93.6,2.3,2.2,0.6
Marcus Banks,93.1,2.3,1.9,0.7
Trey Burke,91.7,2.4,2.1,0.9
Chris Quinn,91.7,2.6,2.1,0.6
Fred Hoiberg,90.3,2.3,2.1,0.2
J.J. Redick,89.2,2.3,1.7,0.5
Larry Hughes,89.0,2.4,1.7,0.6
Maurice McHartley,88.8,2.4,1.8,0.8
Rodrigue Beaubois,88.3,2.2,2,0.2
Eric Piatkowski,88.0,2.3,2,1.2
