Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Charlie Villanueva,,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,NA,NA,NA
Shandon Anderson,90.2,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.5,0.4,NA,NA,NA,NA
Stromile Swift,87.6,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA,NA,NA,NA,NA
Kwame Brown,87.2,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1,NA,NA
Pat Cummings,86.4,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1,NA,NA
Terry Catledge,85.7,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA,NA,NA,NA,NA
Ronny Turiaf,85.2,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0,NA,NA,NA,NA
Len Chappell,84.6,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,NA,NA,NA,NA
Eduardo Nájera,84.5,4.8,4.1,4,4,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1,NA,NA
James Jones,84.4,4.7,4,3.7,2.5,2.2,1.7,1.5,1.2,1,0.9,0.8,0.7,0.2,0
Lamond Murray,84.3,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3,NA,NA,NA
