Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
John Barnhill,,4.6,2.5,1.7,1.1,1,1,0.7,0.4,0.3,-0.4,NA,NA,NA
Brandon Knight,79.8,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA,NA,NA,NA
Jordan Farmar,79.6,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,0,NA,NA,NA
E'Twaun Moore,78.8,4.4,2.7,1.8,1.7,1.7,0.8,0.2,0.2,NA,NA,NA,NA,NA
Kevin Ollie,76.4,3.8,2.4,2.4,1.4,1.2,1.1,0.9,0.6,0.5,0.3,0.1,0,-0.1
Roger Mason,75.1,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1,NA,NA,NA
Keith Askins,75.0,4.4,4.3,1.9,1.4,0.7,0.7,0.6,0.3,0.2,NA,NA,NA,NA
Charles Johnson,74.2,3.7,2.8,2.4,1.4,1.1,1,0.9,NA,NA,NA,NA,NA,NA
Wes Matthews,74.1,3,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1,NA,NA,NA,NA
Slick Watts,73.9,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA,NA,NA,NA
Anthony Carter,73.5,3.8,1.8,1.7,1.4,0.9,0.6,0.5,0.2,0.2,0,-0.1,-0.2,-0.3
