Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1988-89,21,CHH,NBA,SG,75,2219,12.6,0.467,0.15,0.153,3.5,5.9,4.7,12.6,1.5,0.7,7.7,27.1,NA,-0.7,0.4,-0.2,-0.005,NA,-1,-2.2,-3.2,-0.7
1989-90,22,CHH,NBA,SG,54,1762,11.9,0.469,0.154,0.208,3.2,8.7,5.8,12.2,1.3,0.2,9,26.8,NA,-1.4,0.7,-0.7,-0.018,NA,-1.6,-2.1,-3.7,-0.8
1990-91,23,CHH,NBA,PG,70,2100,15.1,0.527,0.161,0.306,2.4,8.2,5.2,18.8,1.7,0.5,11.1,23.9,NA,2,1,3,0.069,NA,0.4,-0.9,-0.5,0.8
1991-92,24,TOT,NBA,PG-SG,22,567,12.1,0.49,0.115,0.21,1.9,9.3,5.5,22.1,1.3,0.8,14,22.9,NA,-0.1,0.2,0.1,0.01,NA,-1.1,-1.2,-2.3,0
1991-92,24,CHH,NBA,PG,21,545,12.3,0.494,0.113,0.221,1.7,9,5.3,22.1,1.2,0.8,13.8,22.7,NA,0,0.2,0.2,0.016,NA,-0.8,-1.1,-1.9,0
1991-92,24,WSB,NBA,SG,1,22,7.2,0.417,0.167,0,4.9,15.3,10,22,2.2,0,20,28.8,NA,-0.1,0,-0.1,-0.123,NA,-8.7,-2.5,-11.1,-0.1
1992-93,25,WSB,NBA,SG,60,1300,15.1,0.556,0.193,0.271,1.6,6.1,3.8,14.6,1.4,0.5,10.5,24.6,NA,1.5,0.4,1.9,0.07,NA,0.5,-1.5,-1,0.3
1993-94,26,WSB,NBA,SG,60,2025,16.9,0.572,0.191,0.238,3.2,5.2,4.2,15.3,1.5,0.2,10.9,22.7,NA,4.2,-0.3,3.9,0.092,NA,2.4,-2.2,0.3,1.2
1994-95,27,WSB,NBA,SG,45,1468,15.3,0.516,0.429,0.249,1.7,7.3,4.4,13.9,2.3,0.7,8,23,NA,1.7,0.8,2.5,0.081,NA,1.1,-0.4,0.7,1
1995-96,28,MIA,NBA,SG,56,1865,13,0.539,0.496,0.166,1.4,7.5,4.5,15.4,1.3,0.4,9.8,19.7,NA,2.3,1.9,4.2,0.108,NA,0.7,0.1,0.8,1.3
1996-97,29,PHO,NBA,SG,65,1833,15.2,0.551,0.419,0.199,1.6,9.9,5.8,16.3,1.5,0.3,10.5,22.4,NA,2.4,0.9,3.3,0.086,NA,1.3,-1,0.2,1
1997-98,30,PHO,NBA,SG,68,2263,14.4,0.521,0.325,0.196,1.6,7.2,4.5,14.8,1.6,0.4,10,23.1,NA,2.4,2.1,4.5,0.095,NA,0.9,-0.7,0.2,1.3
1998-99,31,PHO,NBA,SG,38,1183,11.8,0.46,0.329,0.198,1.2,9.2,5.1,15.2,1.5,0.6,9.8,21.6,NA,0.3,0.6,0.9,0.035,NA,-1,-1.5,-2.5,-0.1
1999-00,32,PHO,NBA,SG,53,957,9.4,0.491,0.384,0.244,1.2,8,4.7,9.9,1.2,0.1,9.7,18.1,NA,0.4,1,1.4,0.072,NA,-2,-0.2,-2.2,-0.1
Career,NA,,NBA,,666,19542,13.9,0.514,0.266,0.216,2.2,7.5,4.8,14.9,1.5,0.4,9.8,23.3,NA,15,9.8,24.7,0.061,NA,0.2,-1.2,-1,5.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHO,NBA,,224,6236,13.4,0.515,0.362,0.203,1.4,8.5,5,14.6,1.5,0.4,10.1,21.8,NA,5.4,4.6,10,0.077,NA,0.2,-0.9,-0.7,2.1
4 seasons,NA,CHH,NBA,,220,6626,13.2,0.486,0.151,0.215,2.9,7.7,5.2,15.2,1.5,0.5,9.5,25.6,NA,0,2.3,2.3,0.017,NA,-0.7,-1.7,-2.4,-0.6
4 seasons,NA,WSB,NBA,,166,4815,15.9,0.55,0.263,0.249,2.3,6.1,4.2,14.7,1.7,0.5,10,23.3,NA,7.3,0.9,8.2,0.082,NA,1.4,-1.5,0,2.4
1 season,NA,MIA,NBA,,56,1865,13,0.539,0.496,0.166,1.4,7.5,4.5,15.4,1.3,0.4,9.8,19.7,NA,2.3,1.9,4.2,0.108,NA,0.7,0.1,0.8,1.3
