Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jimmer Fredette,,1.1,0.8,0.3,0.2,0,-0.2,NA
Mike D'Antoni,75.1,1,0.8,0.3,0,NA,NA,NA
Salim Stoudamire,73.1,1.2,0.8,0.3,NA,NA,NA,NA
Brooks Thompson,68.3,1.1,0.6,0.2,0.1,NA,NA,NA
Phil Rollins,67.0,1.1,0.7,0.1,NA,NA,NA,NA
Jordan Hamilton,66.9,1.6,0.8,0.3,0.2,0.1,NA,NA
Morlon Wiley,65.9,1.1,0.9,0.5,0.2,0.1,0.1,-0.2
Reggie Jordan,65.7,1.2,0.8,0.6,0.4,0.3,-0.2,NA
Keith McLeod,64.9,0.8,0.6,0.3,0.2,NA,NA,NA
Steve Alford,64.7,1.4,0.9,0.6,0.3,NA,NA,NA
Pace Mannion,64.6,0.9,0.4,0.3,0.2,0,-0.2,NA
