Season,Team,Lg,Salary
2010-11,Houston Rockets,NBA,"$1,823,280"
2011-12,Houston Rockets,NBA,"$1,959,960"
2012-13,Sacramento Kings,NBA,"$2,096,760"
2013-14,Sacramento Kings,NBA,"$3,105,302"
2014-15,Toronto Raptors,NBA,"$5,831,326"
2015-16,Toronto Raptors,NBA,"$6,268,675"
2016-17,Toronto Raptors,NBA,"$6,050,000"
2017-18,Oklahoma City Thunder,NBA,"$5,192,000"
2018-19,Oklahoma City Thunder,NBA,"$5,451,600"
Career,(may be incomplete),,"$37,778,903"
