Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,23,UTA,NBA,SF,67,48,1121,4.3,9,0.484,0.1,0.7,0.091,4.3,8.3,0.518,2,3.2,0.614,2,3.9,5.8,1.7,2.2,0.6,1.8,4.4,10.7
1994-95,24,UTA,NBA,SF,63,15,860,4.4,10,0.437,0.5,1.8,0.295,3.8,8.1,0.469,2.6,3.9,0.667,1.8,4.1,5.9,1.4,2,0.5,1.8,4.2,11.8
1995-96,25,UTA,NBA,SF,59,9,577,3.5,8.9,0.394,0.9,2.5,0.35,2.6,6.4,0.412,3,4.2,0.716,1.7,3.9,5.6,1.8,1.8,0.5,2.2,4.1,10.9
1996-97,26,UTA,NBA,SF,81,81,2525,4.2,8.8,0.479,1.5,3.8,0.409,2.7,5.1,0.531,2.4,3.5,0.701,1.1,3.6,4.7,1.8,1.8,0.4,1.3,3.4,12.4
1997-98,27,UTA,NBA,SF,82,7,2219,3.7,8.5,0.43,1.2,3.5,0.341,2.5,5,0.492,3.5,4.5,0.766,1.3,4,5.3,1.6,1.5,0.5,1.3,3.7,12
1998-99,28,UTA,NBA,SF,50,50,1770,4.4,9.5,0.464,1.1,3,0.354,3.4,6.5,0.514,2.8,3.5,0.795,1.3,4.1,5.4,1.5,1.5,0.3,1.5,3.1,12.7
1999-00,29,UTA,NBA,SF,82,70,2900,5.1,11.3,0.446,1.3,3.3,0.396,3.7,8,0.467,2.9,3.9,0.75,1.2,4.1,5.3,2,1.6,0.3,1.3,3.2,14.4
2000-01,30,UTA,NBA,SF,78,46,2473,4.5,10.2,0.44,1.4,3.3,0.413,3.1,6.8,0.453,3.2,4.1,0.779,1.4,3.4,4.8,2.3,1.4,0.3,1.6,3.3,13.6
2001-02,31,UTA,NBA,SG,66,40,1998,4,10.5,0.38,1.4,4.1,0.341,2.6,6.5,0.405,2.1,2.5,0.821,1.4,3.9,5.3,2.5,1.2,0.3,2,3.7,11.5
2002-03,32,WAS,NBA,SF,70,23,1388,2.8,7.9,0.353,1.2,3.6,0.329,1.6,4.3,0.373,1.4,1.8,0.768,1.1,4.3,5.4,1.9,1.8,0.2,1.4,3.4,8.2
2003-04,33,LAL,NBA,SF,72,1,945,3.7,9.3,0.402,1.6,4.3,0.384,2.1,5,0.417,1.9,2.5,0.769,1.2,4.3,5.6,2.7,1.2,0.5,1.4,4.2,11
2004-05,34,DEN,NBA,SF,70,2,1026,3.3,8.8,0.377,2,5.2,0.376,1.4,3.6,0.379,2.1,2.7,0.792,1.8,4.3,6,2.5,1.5,0.4,1.2,4.6,10.8
2005-06,35,DEN,NBA,SF,1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,12,12,12,0,0,0,0,0
Career,NA,,NBA,,841,392,19805,4.1,9.6,0.431,1.2,3.4,0.369,2.9,6.2,0.465,2.6,3.5,0.75,1.4,3.9,5.3,2,1.6,0.4,1.5,3.6,12.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,UTA,NBA,,628,366,16443,4.3,9.8,0.441,1.2,3.2,0.371,3.1,6.6,0.475,2.8,3.7,0.747,1.4,3.9,5.2,1.9,1.6,0.4,1.6,3.5,12.6
1 season,NA,LAL,NBA,,72,1,945,3.7,9.3,0.402,1.6,4.3,0.384,2.1,5,0.417,1.9,2.5,0.769,1.2,4.3,5.6,2.7,1.2,0.5,1.4,4.2,11
2 seasons,NA,DEN,NBA,,71,2,1029,3.3,8.8,0.377,2,5.2,0.376,1.4,3.6,0.379,2.1,2.7,0.792,1.7,4.3,6.1,2.6,1.5,0.4,1.2,4.5,10.7
1 season,NA,WAS,NBA,,70,23,1388,2.8,7.9,0.353,1.2,3.6,0.329,1.6,4.3,0.373,1.4,1.8,0.768,1.1,4.3,5.4,1.9,1.8,0.2,1.4,3.4,8.2
