Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Ronald Murray,,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3,NA,NA
Rick Adelman,82.3,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA,NA
Al Ferrari,81.7,3.3,1.9,1.4,1.4,0.9,0,NA,NA,NA,NA
Quinton Ross,80.9,3.2,1.7,1.6,0.7,0.6,0,-0.1,NA,NA,NA
Bucky Bockhorn,80.3,3.1,1.5,1.3,1.1,0.5,0.3,0.1,NA,NA,NA
Mike Evans,79.9,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2,NA
Matthew Dellavedova,79.7,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA,NA,NA
Greg Minor,79.0,3,2.1,1.7,0.8,0.6,NA,NA,NA,NA,NA
Ennis Whatley,79.0,3.3,2.2,1.9,0.8,0.7,0.6,0,0,0,0
Quincy Pondexter,78.2,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA,NA,NA
Gary Neal,78.1,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA,NA
