Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Chris Wilcox,,6,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2,NA
Alan Henderson,89.8,6,4.3,3.1,3.1,2.6,2,1.9,1.6,1.3,1.3,0.7,0.2
Austin Croshere,87.9,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,1.1,0.3,0.1,0
Al-Farouq Aminu,87.7,5.8,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7,NA,NA,NA
Patrick Patterson,86.9,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.6,1.1,NA,NA,NA
Luc Mbah a Moute,86.8,4.8,4.7,4,3.1,2.8,2.4,1.6,1.1,1,0.5,0,NA
Phil Jackson,86.7,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5
Billy Owens,85.1,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.8,0.2,NA,NA
Gary Trent,84.7,5.5,4,3.3,3.1,3,2.3,1.7,0.4,0.1,NA,NA,NA
Ollie Johnson,84.5,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3,0.2,NA,NA
Anthony Tolliver,84.4,5.3,3.3,3.2,2.8,2.7,2.5,2.3,1.2,1.2,0.9,0,NA
