Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Orlando Woolridge,,9,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8
James Posey,91.2,10,6.2,5.4,5.2,4.3,4.2,4.2,3.8,2.7,2.4,2.3,1,NA
Josh Smith,91.0,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0,0
Udonis Haslem,90.7,9.2,7,6,5.7,5.1,4.8,3.5,3.2,2.5,1.4,1.1,0.9,0.4
Kurt Thomas,90.7,8.2,6.5,5.4,5.2,5.2,5,4.1,3.8,3.3,2.9,2.5,0.5,-0.2
Mike Dunleavy,90.1,8.5,6.5,5.2,5.1,4.9,4.5,4.4,4.4,4.2,4.1,2.3,1.5,0.5
Boris Diaw,90.0,8.9,6.2,4.9,4.8,4.7,4.6,4.4,3.8,3.6,3,0.8,0.6,0.1
Jeff Foster,89.9,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3,2.7,1.6,0.6,0.4,0.4
Johnny Green,89.9,9.5,8.4,5.6,5.3,5.1,5.1,3.8,2.6,2.4,2.3,1.7,1.5,1.2
Caron Butler,89.6,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.4,2.3,2.1,1.8,1.2
Tyrone Hill,89.5,9.9,6.9,5.7,5.7,5.5,4.9,4.8,4.5,2.2,2.1,1.9,1.4,0.6
