Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,21,NYK,BAA,,52,NA,NA,3,9.2,0.328,2.3,3.3,0.71,NA,1.2,2.4,8.3
1949-50,22,NYK,NBA,,68,NA,NA,3.9,9.8,0.396,4.1,5.4,0.757,NA,0.8,3.2,11.8
1950-51,23,NYK,NBA,,66,NA,NA,4.4,10.7,0.416,3.9,5.4,0.732,12.1,2.7,3.7,12.8
1951-52,24,NYK,NBA,PF,66,NA,29.3,3.5,8,0.442,4.2,5.2,0.806,10,1.7,3.4,11.2
1952-53,25,NYK,NBA,PF,70,NA,33.3,4,9.1,0.444,4.3,6.1,0.7,13.1,1.8,3.2,12.4
1953-54,26,NYK,NBA,PF,72,NA,37.4,3.6,8.9,0.404,6,7.7,0.784,15.3,2.1,2.9,13.2
1954-55,27,NYK,NBA,PF,72,NA,35.4,4.6,11.9,0.384,5.5,6.7,0.814,13.8,2.4,2.9,14.6
1955-56,28,NYK,NBA,SF,72,NA,33,4.5,11.6,0.386,5,6.3,0.787,10.3,2.3,3.1,13.9
1956-57,29,NYK,NBA,PF,72,NA,27,4.6,11.3,0.406,5.8,7.2,0.8,10.1,1.2,2.8,15
1957-58,30,DET,NBA,PF,72,NA,27.6,4.7,12.5,0.379,5.4,6.9,0.787,10.4,1.2,3,14.9
Career,NA,,TOT,,682,NA,31.9,4.1,10.3,0.398,4.7,6.1,0.773,11.9,1.8,3.1,13
,NA,,NBA,,630,NA,31.9,4.2,10.4,0.403,4.9,6.3,0.776,11.9,1.8,3.1,13.3
,NA,,BAA,,52,NA,NA,3,9.2,0.328,2.3,3.3,0.71,NA,1.2,2.4,8.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,NYK,BAA,,610,NA,32.6,4,10.1,0.401,4.6,6,0.772,12.1,1.8,3.1,12.7
1 season,NA,DET,NBA,,72,NA,27.6,4.7,12.5,0.379,5.4,6.9,0.787,10.4,1.2,3,14.9
