Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,18,POR,NBA,PF,45,0,458,69,153,0.451,0,1,0,69,152,0.454,0.451,47,78,0.603,39,85,124,8,2,26,27,46,185
1997-98,19,POR,NBA,PF,60,9,808,112,231,0.485,0,2,0,112,229,0.489,0.485,45,89,0.506,80,121,201,17,15,58,55,101,269
1998-99,20,POR,NBA,PF,36,1,311,36,83,0.434,0,1,0,36,82,0.439,0.434,18,35,0.514,42,55,97,13,4,14,14,41,90
1999-00,21,POR,NBA,C,70,8,859,108,222,0.486,0,1,0,108,221,0.489,0.486,57,98,0.582,97,132,229,18,11,55,47,127,273
2000-01,22,IND,NBA,C,81,80,2641,404,868,0.465,0,5,0,404,863,0.468,0.465,233,388,0.601,249,545,794,98,49,228,161,280,1041
2001-02,23,IND,NBA,PF,72,72,2707,543,1133,0.479,1,14,0.071,542,1119,0.484,0.48,284,413,0.688,188,569,757,118,45,166,174,269,1371
2002-03,24,IND,NBA,PF,77,76,2864,610,1260,0.484,7,21,0.333,603,1239,0.487,0.487,373,510,0.731,202,594,796,155,66,178,180,277,1600
2003-04,25,IND,NBA,PF,78,78,2788,608,1400,0.434,2,18,0.111,606,1382,0.438,0.435,348,460,0.757,193,585,778,164,59,199,181,248,1566
2004-05,26,IND,NBA,PF,44,41,1530,386,854,0.452,1,6,0.167,385,848,0.454,0.453,295,391,0.754,85,303,388,82,25,88,131,173,1068
2005-06,27,IND,NBA,PF,51,47,1802,380,805,0.472,3,10,0.3,377,795,0.474,0.474,261,368,0.709,102,374,476,133,27,117,151,177,1024
2006-07,28,IND,NBA,C,69,69,2459,498,1141,0.436,0,7,0,498,1134,0.439,0.436,343,447,0.767,153,508,661,167,50,182,203,232,1339
2007-08,29,IND,NBA,C,42,34,1206,225,512,0.439,0,5,0,225,507,0.444,0.439,121,163,0.742,82,201,283,93,20,87,106,129,571
2008-09,30,TOT,NBA,C,68,61,2027,365,770,0.474,0,1,0,365,769,0.475,0.474,175,222,0.788,126,307,433,122,29,136,144,211,905
2008-09,30,TOR,NBA,C,41,34,1216,220,465,0.473,0,1,0,220,464,0.474,0.473,115,142,0.81,71,217,288,67,18,82,92,130,555
2008-09,30,MIA,NBA,C,27,27,811,145,305,0.475,0,0,NA,145,305,0.475,0.475,60,80,0.75,55,90,145,55,11,54,52,81,350
2009-10,31,MIA,NBA,C,70,70,1991,394,745,0.529,0,2,0,394,743,0.53,0.529,162,225,0.72,124,362,486,92,25,95,125,212,950
2010-11,32,BOS,NBA,C,24,10,431,50,109,0.459,0,1,0,50,108,0.463,0.459,29,43,0.674,25,63,88,12,2,30,27,65,129
2011-12,33,BOS,NBA,C,25,24,570,52,120,0.433,0,0,NA,52,120,0.433,0.433,21,31,0.677,37,98,135,10,8,43,21,80,125
2012-13,34,PHO,NBA,C,55,4,1029,179,371,0.482,0,0,NA,179,371,0.482,0.482,96,115,0.835,82,211,293,42,19,78,73,126,454
2013-14,35,GSW,NBA,PF,44,13,883,125,248,0.504,0,0,NA,125,248,0.504,0.504,99,132,0.75,85,157,242,25,14,40,52,102,349
Career,NA,,NBA,,1011,697,27364,5144,11025,0.467,14,95,0.147,5130,10930,0.469,0.467,3007,4208,0.715,1991,5270,7261,1369,470,1820,1872,2896,13309
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,IND,NBA,,514,497,17997,3654,7973,0.458,14,86,0.163,3640,7887,0.462,0.459,2258,3140,0.719,1254,3679,4933,1010,341,1245,1287,1785,9580
4 seasons,NA,POR,NBA,,211,18,2436,325,689,0.472,0,5,0,325,684,0.475,0.472,167,300,0.557,258,393,651,56,32,153,143,315,817
2 seasons,NA,MIA,NBA,,97,97,2802,539,1050,0.513,0,2,0,539,1048,0.514,0.513,222,305,0.728,179,452,631,147,36,149,177,293,1300
1 season,NA,PHO,NBA,,55,4,1029,179,371,0.482,0,0,NA,179,371,0.482,0.482,96,115,0.835,82,211,293,42,19,78,73,126,454
2 seasons,NA,BOS,NBA,,49,34,1001,102,229,0.445,0,1,0,102,228,0.447,0.445,50,74,0.676,62,161,223,22,10,73,48,145,254
1 season,NA,GSW,NBA,,44,13,883,125,248,0.504,0,0,NA,125,248,0.504,0.504,99,132,0.75,85,157,242,25,14,40,52,102,349
1 season,NA,TOR,NBA,,41,34,1216,220,465,0.473,0,1,0,220,464,0.474,0.473,115,142,0.81,71,217,288,67,18,82,92,130,555
