Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,27,ORL,NBA,SG,10,0,29.3,2.5,6.8,0.368,1.5,4.5,0.333,1,2.3,0.435,0.478,0.8,1.1,0.727,0.4,3.8,4.2,1.1,0.4,0,0.7,2.6,7.3
2009-10,29,SAS,NBA,SF,8,0,6.9,0.3,1.3,0.2,0.1,0.8,0.167,0.1,0.5,0.25,0.25,0,0,NA,0.1,0.6,0.8,0.3,0.3,0.1,0.3,1.1,0.6
2010-11,30,CHI,NBA,SG,16,16,19.2,1.8,4.3,0.406,1.6,3.7,0.424,0.2,0.6,0.3,0.587,0.1,0.3,0.25,0.3,1,1.3,0.8,0.6,0.2,0.4,1.6,5.1
2012-13,32,BRK,NBA,SG,2,0,11.5,0,0.5,0,0,0.5,0,0,0,NA,0,0,0,NA,0,1,1,1,0,0,0.5,1.5,0
Career,NA,,NBA,,36,16,18.8,1.5,4.1,0.372,1.1,3.1,0.369,0.4,1,0.378,0.51,0.3,0.4,0.6,0.3,1.7,1.9,0.8,0.4,0.1,0.5,1.8,4.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CHI,NBA,,16,16,19.2,1.8,4.3,0.406,1.6,3.7,0.424,0.2,0.6,0.3,0.587,0.1,0.3,0.25,0.3,1,1.3,0.8,0.6,0.2,0.4,1.6,5.1
1 season,NA,ORL,NBA,,10,0,29.3,2.5,6.8,0.368,1.5,4.5,0.333,1,2.3,0.435,0.478,0.8,1.1,0.727,0.4,3.8,4.2,1.1,0.4,0,0.7,2.6,7.3
1 season,NA,SAS,NBA,,8,0,6.9,0.3,1.3,0.2,0.1,0.8,0.167,0.1,0.5,0.25,0.25,0,0,NA,0.1,0.6,0.8,0.3,0.3,0.1,0.3,1.1,0.6
1 season,NA,BRK,NBA,,2,0,11.5,0,0.5,0,0,0.5,0,0,0,NA,0,0,0,NA,0,1,1,1,0,0,0.5,1.5,0
