Thru 15 Years,Thru 15 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Olden Polynice,,6.7,5.3,5.2,5.1,4.5,3.3,3.2,2.6,2.5,2,2,1.6,1.5,1.5,-0.1
Leroy Ellis,89.8,6.4,5.8,4.7,4.3,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6,0.9,NA
Theo Ratliff,88.3,6.7,5.6,5.4,5.2,5.2,4,3.9,3.8,2.3,2,1.4,1.4,0.8,0.1,0
Zaza Pachulia,85.5,6,5,4.8,4.7,4.2,3.9,3.9,3.3,3.1,2.9,2.7,2.7,1.7,1.1,0.3
Rick Mahorn,85.3,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,2.3,1.8,1.3,1.2,0.5,0.1
Ervin Johnson,85.2,6.4,5.2,5.1,4.9,3.9,3,2.3,2.3,1.9,1.3,0.8,0.7,0,NA,NA
Chris Andersen,83.9,6,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.3,1.1,0.3,0.2,0
Mark Eaton,83.8,6.6,5.5,5.4,5.3,4.1,4,3.8,3.7,3.6,1.9,0.8,NA,NA,NA,NA
Channing Frye,83.8,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3,2.1,1.5,0.9,0.8,0.1,NA,NA
Brendan Haywood,82.6,6.8,6.7,5.2,5,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1,0,NA,NA
Shawn Bradley,81.3,7.4,6.3,5.1,4.2,3.5,3,3,2.9,2.3,2.3,1.9,-1.1,NA,NA,NA
