Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Lamond Murray,,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3,NA
Donald Royal,87.2,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA,NA
Earl Lloyd,87.1,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA,NA,NA
Corey Brewer,86.0,5.2,3.9,3.1,2.3,2.3,1.2,1.2,1.1,1,1,0.3,-0.2
Tony Campbell,86.0,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3,NA
Stromile Swift,85.6,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA,NA,NA
Shandon Anderson,85.3,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.5,0.4,NA,NA
Kwame Brown,84.4,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1
Charlie Villanueva,84.3,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,NA
Glen Davis,84.2,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA,NA
Andrea Bargnani,84.1,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,NA,NA
