Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jumaine Jones,,3.7,3.3,3,2.9,2.3,0.1,0,-0.2
Glen Gondrezick,89.9,3.6,3.1,3.1,2.7,2.5,0.9,NA,NA
Nick Weatherspoon,88.3,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA
Edgar Jones,86.6,3.4,3.4,2.6,2.4,2.3,0.9,NA,NA
Willie Norwood,86.5,3.8,3.5,3.3,3,2.6,1.1,0.5,NA
Craig Smith,85.3,3.9,3.5,3.1,3,1.5,1,NA,NA
Keith Erickson,82.9,3.3,2.9,2.8,2.1,1.9,0.5,0.2,-0.2
Greg Anderson,82.1,3.4,3.4,3,2.3,2,1.5,0.4,-0.3
Anthony Tolliver,82.0,3.3,3.2,2.8,2.7,2.5,1.2,0.9,0
E.C. Coleman,81.5,3.2,2.7,2.6,2.5,1.7,0.1,NA,NA
Kenny Gattison,81.2,4.5,3.5,3.2,3,1.5,0.7,0.5,0
