Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,20,ORL,NBA,C,81,81,3071,8.6,15.3,0.562,0,0,0,8.6,15.3,0.563,5,8.5,0.592,4,9.1,13.2,1.8,0.7,3.4,3.6,3.8,22.2
1993-94,21,ORL,NBA,C,81,81,3224,10.6,17.8,0.599,0,0,0,10.6,17.7,0.6,5.3,9.5,0.554,4.3,7.7,12,2.2,0.8,2.6,2.5,3.1,26.5
1994-95,22,ORL,NBA,C,79,79,2923,11.5,19.6,0.583,0,0.1,0,11.5,19.6,0.585,5.6,10.5,0.533,4,7.1,11.1,2.6,0.9,2.4,2.5,3.2,28.5
1995-96,23,ORL,NBA,C,54,52,1946,11,19.1,0.573,0,0,0.5,10.9,19.1,0.573,4.6,9.5,0.487,3.4,7.7,11,2.9,0.6,2.1,2.9,3.6,26.5
1996-97,24,LAL,NBA,C,51,51,1941,10.2,18.4,0.557,0,0.1,0,10.2,18.3,0.559,4.3,8.9,0.484,3.6,8.3,11.9,2.9,0.9,2.7,2.7,3.3,24.8
1997-98,25,LAL,NBA,C,60,57,2175,11.1,19,0.584,0,0,NA,11.1,19,0.584,5.9,11.3,0.527,3.4,7.8,11.3,2.4,0.6,2.4,2.9,3.2,28.1
1998-99,26,LAL,NBA,C,49,49,1705,10.8,18.7,0.576,0,0,0,10.8,18.7,0.577,5.7,10.5,0.54,3.9,7.1,11.1,2.4,0.8,1.7,2.6,3.3,27.2
1999-00,27,LAL,NBA,C,79,79,3163,10.9,19,0.574,0,0,0,10.9,18.9,0.575,4.9,9.4,0.524,3.8,8.4,12.3,3.4,0.4,2.7,2.5,2.9,26.7
2000-01,28,LAL,NBA,C,74,74,2924,10,17.5,0.572,0,0,0,10,17.5,0.573,6.1,12,0.513,3.6,8,11.6,3.4,0.6,2.5,2.7,3.2,26.2
2001-02,29,LAL,NBA,C,67,66,2422,10.6,18.3,0.579,0,0,0,10.6,18.3,0.58,5.9,10.7,0.555,3.5,7.1,10.6,3,0.6,2,2.5,3,27.1
2002-03,30,LAL,NBA,C,67,66,2535,9.9,17.2,0.574,0,0,NA,9.9,17.2,0.574,6.4,10.3,0.622,3.7,6.9,10.5,2.9,0.5,2.3,2.8,3.3,26.1
2003-04,31,LAL,NBA,C,67,67,2464,8.1,13.9,0.584,0,0,NA,8.1,13.9,0.584,4.8,9.9,0.49,3.6,7.6,11.2,2.9,0.5,2.4,2.8,3.3,21
2004-05,32,MIA,NBA,C,73,73,2492,9.5,15.8,0.601,0,0,NA,9.5,15.8,0.601,5.1,11.1,0.461,3.7,7.3,11,2.9,0.5,2.5,2.9,3.8,24.1
2005-06,33,MIA,NBA,C,59,58,1806,9.6,15.9,0.6,0,0,NA,9.6,15.9,0.6,4.4,9.4,0.469,3.4,7.4,10.8,2.3,0.5,2.1,3.3,4.6,23.5
2006-07,34,MIA,NBA,C,40,39,1135,9,15.2,0.591,0,0,NA,9,15.2,0.591,3.9,9.3,0.422,3.1,6.3,9.4,2.5,0.3,1.7,3,4.4,21.9
2007-08,35,TOT,NBA,C,61,61,1748,6.8,11.5,0.593,0,0,NA,6.8,11.5,0.593,3.5,7,0.503,3.4,8,11.4,1.9,0.7,1.8,3.7,4.7,17.1
2007-08,35,MIA,NBA,C,33,33,945,7.3,12.5,0.581,0,0,NA,7.3,12.5,0.581,3.4,6.8,0.494,3.8,6.1,9.8,1.7,0.7,2.1,3.7,5.1,17.9
2007-08,35,PHO,NBA,C,28,28,803,6.3,10.3,0.611,0,0,NA,6.3,10.3,0.611,3.7,7.2,0.513,3,10.3,13.3,2.2,0.6,1.5,3.7,4.2,16.2
2008-09,36,PHO,NBA,C,75,75,2252,8.2,13.4,0.609,0,0,0,8.2,13.4,0.61,4.9,8.3,0.595,3,7.1,10.1,2,0.8,1.7,2.7,4,21.3
2009-10,37,CLE,NBA,C,53,53,1240,7.6,13.4,0.566,0,0,0,7.6,13.4,0.567,3.3,6.6,0.496,2.7,7.6,10.3,2.3,0.4,1.8,3,4.9,18.5
2010-11,38,BOS,NBA,C,37,36,752,6.4,9.6,0.667,0,0,NA,6.4,9.6,0.667,3.5,6.3,0.557,2.3,6.2,8.5,1.2,0.8,2,2.7,5.7,16.3
Career,NA,,NBA,,1207,1197,41918,9.7,16.7,0.582,0,0,0.045,9.7,16.7,0.583,5.1,9.7,0.527,3.6,7.6,11.2,2.6,0.6,2.3,2.8,3.6,24.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,LAL,NBA,,514,509,19329,10.2,17.7,0.575,0,0,0,10.2,17.7,0.576,5.5,10.4,0.533,3.6,7.7,11.3,3,0.6,2.4,2.7,3.2,25.9
4 seasons,NA,ORL,NBA,,295,293,11164,10.3,17.8,0.581,0,0,0.091,10.3,17.8,0.582,5.2,9.5,0.546,4,7.9,11.9,2.3,0.8,2.7,2.9,3.4,25.9
4 seasons,NA,MIA,NBA,,205,203,6378,9.1,15.3,0.596,0,0,NA,9.1,15.3,0.596,4.4,9.6,0.46,3.5,7,10.5,2.5,0.5,2.2,3.2,4.3,22.6
2 seasons,NA,PHO,NBA,,103,103,3055,7.7,12.6,0.609,0,0,0,7.7,12.6,0.61,4.6,8,0.576,3,8,10.9,2.1,0.7,1.7,3,4.1,20
1 season,NA,CLE,NBA,,53,53,1240,7.6,13.4,0.566,0,0,0,7.6,13.4,0.567,3.3,6.6,0.496,2.7,7.6,10.3,2.3,0.4,1.8,3,4.9,18.5
1 season,NA,BOS,NBA,,37,36,752,6.4,9.6,0.667,0,0,NA,6.4,9.6,0.667,3.5,6.3,0.557,2.3,6.2,8.5,1.2,0.8,2,2.7,5.7,16.3
