Thru 18 Years,Thru 18 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Hakeem Olajuwon,,15.8,14.3,12.4,11.2,10.9,10.7,10.7,10.2,9.8,9.7,9.5,9.1,8.6,6.5,5,4.5,2.1,1.6
Dan Issel,93.9,15.8,13.8,13.5,12.5,11.5,11.1,10.9,10.7,10.5,9.8,9.8,9.3,8.4,6.1,4.3,NA,NA,NA
Moses Malone,91.7,15.4,15.1,14.1,13.7,11.9,11.9,10.7,10.2,9.5,9.4,9.2,8.9,8.7,7.8,7.7,6.1,5.6,1.9
Shaquille O'Neal,85.8,18.6,16.9,14.9,14,13.2,13.2,11,10.4,10.2,9.9,9,8,7.8,6.9,6.2,3.1,2.8,2.8
Walt Bellamy,84.8,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,5.4,4.9,0.1,NA,NA,NA,NA
Patrick Ewing,81.7,13.5,13.1,13,10.9,10.6,10,9.8,9.6,8.1,6.8,4.8,3.5,3.3,3.1,3,2,1.4,NA
Robert Parish,81.6,10.9,10.8,10.5,10.5,10,10,9.2,9.2,9,7.8,7.4,7.1,6.8,6.4,4.8,4.6,4,4
Dwight Howard,81.2,14.4,13.8,13.2,12.9,9.7,8.6,8.3,8,7.7,7.6,7.3,6.8,6.6,3.6,0.6,NA,NA,NA
Artis Gilmore,79.4,19.8,18.5,16.2,15.1,12.7,12.7,12.3,12.2,12.1,11.5,11,10.5,7.1,6.7,5.6,4.9,0.9,NA
Bill Russell,78.2,17.3,16.9,15.5,13.8,13.5,13,12.9,12.2,11.7,11.3,10.9,8.2,6.2,NA,NA,NA,NA,NA
Bob Lanier,76.9,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.7,6.6,5.9,5.2,2.3,NA,NA,NA,NA
