Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1984-85,22,HOU,NBA,C,82,2914,21.1,0.564,0,0.438,16.9,20.4,18.7,5.3,1.6,4.3,13.5,23.5,NA,5.3,4.9,10.2,0.168,NA,1.7,0.4,2.1,3
1985-86,23,HOU,NBA,C,68,2467,24.2,0.56,0,0.453,14.4,19.8,17.1,8,2.5,5.2,12,25.6,NA,5.3,4.2,9.5,0.186,NA,2.9,1.2,4,3.8
1986-87,24,HOU,NBA,C,75,2760,23.8,0.554,0.004,0.428,12.7,21.3,17.1,12.6,2.4,5.3,12.6,26.8,NA,4.9,6,10.9,0.189,NA,3.1,2.7,5.8,5.4
1987-88,25,HOU,NBA,C,79,2825,23.4,0.555,0.003,0.396,11.2,24.1,17.7,9.2,2.7,4.2,13,26.5,NA,4.4,6.3,10.7,0.182,NA,2.2,2.2,4.4,4.6
1988-89,26,HOU,NBA,C,82,3024,25.2,0.552,0.006,0.419,12.2,27.2,19.8,8.2,3.3,5.5,13,28.2,NA,4.6,7.8,12.4,0.197,NA,2.7,2.9,5.5,5.7
1989-90,27,HOU,NBA,C,82,3124,24.1,0.541,0.004,0.333,10.3,28.3,19.5,12.1,2.6,7,14.6,28.1,NA,2.5,8.7,11.2,0.173,NA,1.8,4,5.8,6.2
1990-91,28,HOU,NBA,C,56,2062,24.3,0.549,0.004,0.289,11.4,28.3,19.9,10.2,2.9,6.4,13.9,25,NA,2.9,5.7,8.6,0.201,NA,2.1,4,6.2,4.3
1991-92,29,HOU,NBA,C,70,2636,23.7,0.553,0.001,0.364,10.7,24.7,17.8,9.9,2.4,6.8,12,25.6,NA,4.2,5.6,9.8,0.178,NA,1.9,3,5,4.6
1992-93,30,HOU,NBA,C,82,3242,27.3,0.577,0.005,0.356,10.5,25.9,18.7,15.8,2.4,6.5,12.4,28.8,NA,7.9,8,15.8,0.234,NA,3.9,3.6,7.5,7.8
1993-94,31,HOU,NBA,C,80,3277,25.3,0.565,0.011,0.32,8.2,23.3,16.2,16.4,2,5.7,12.3,29.8,NA,6.4,7.9,14.3,0.21,NA,3.5,3.3,6.8,7.3
1994-95,32,HOU,NBA,C,72,2853,26,0.563,0.01,0.348,7.3,23.1,15.6,17.2,2.4,5.9,11.7,31.7,NA,5.1,5.6,10.7,0.181,NA,2.8,2.6,5.4,5.4
1995-96,33,HOU,NBA,C,72,2797,25.5,0.558,0.009,0.367,7.3,24,15.9,18.3,2.1,5.3,12.5,31.9,NA,4.5,5.2,9.7,0.166,NA,2.8,2,4.9,4.9
1996-97,34,HOU,NBA,C,78,2852,22.7,0.558,0.011,0.313,7.4,21,14.5,16.2,2.1,4.5,14.8,30.4,NA,3.5,5.6,9.1,0.154,NA,1.5,2,3.5,4
1997-98,35,HOU,NBA,C,47,1633,20.8,0.531,0.005,0.335,8.5,24.6,16.7,15.8,2.7,4.1,14.8,23.7,NA,2,2.5,4.5,0.131,NA,1.2,2.1,3.2,2.2
1998-99,36,HOU,NBA,C,50,1784,23.1,0.559,0.018,0.375,7.4,22.8,15.7,9.5,2.5,4.8,14.1,25.9,NA,3.2,3.3,6.5,0.175,NA,1.4,1.8,3.2,2.3
1999-00,37,HOU,NBA,C,44,1049,16.7,0.484,0.005,0.266,7.1,21.9,14.6,10.2,2,4.4,13.4,22.7,NA,0,1.6,1.6,0.072,NA,-0.8,1.3,0.5,0.7
2000-01,38,HOU,NBA,C,58,1545,20.7,0.526,0.002,0.349,9.5,22.4,16.1,8.3,2.4,4,11,21.9,NA,2.4,2.6,5,0.155,NA,1.3,1.5,2.8,1.9
2001-02,39,TOR,NBA,C,61,1378,14.4,0.478,0.005,0.201,7.9,23.1,15.3,8,2.9,4.9,17.7,18.3,NA,-0.8,2.9,2.1,0.074,NA,-2.7,2.4,-0.4,0.6
Career,NA,,NBA,,1238,44222,23.6,0.553,0.006,0.363,10.3,23.8,17.2,12.1,2.4,5.4,13.1,27.1,NA,68.3,94.5,162.8,0.177,NA,2.2,2.5,4.7,74.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17 seasons,NA,HOU,NBA,,1177,42844,23.9,0.555,0.006,0.366,10.4,23.8,17.3,12.2,2.4,5.4,13,27.4,NA,69.1,91.6,160.6,0.18,NA,2.3,2.5,4.8,73.8
1 season,NA,TOR,NBA,,61,1378,14.4,0.478,0.005,0.201,7.9,23.1,15.3,8,2.9,4.9,17.7,18.3,NA,-0.8,2.9,2.1,0.074,NA,-2.7,2.4,-0.4,0.6
