Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Wilson Chandler,,3.9,3.6,3.5,3.3,3.1,3.1,3.1,2.7,1.5,0.5,-0.1,NA,NA
Dwight Jones,94.7,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6,NA,NA,NA
Keith Erickson,86.6,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2,NA
Jonas Jerebko,86.2,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2,1.4,NA,NA,NA,NA
John Tresvant,86.1,4.1,3.8,3.5,3.3,2.8,2.7,2.6,1.5,0.1,NA,NA,NA,NA
Trevor Booker,86.0,4.3,4.3,3.6,3.1,3,2.9,2.6,2.3,NA,NA,NA,NA,NA
Vladimir Radmanović,85.5,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0,NA
Ollie Johnson,85.4,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3,0.2,NA,NA,NA
Cliff Robinson,84.4,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3,0.1,NA,NA
Lorenzen Wright,84.1,5.2,3.7,3.2,3.2,3.2,3.1,2.5,2.2,2.2,1.4,0.7,0,-0.1
Tom McMillen,83.5,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2,1.2,0.8,NA,NA
