Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Scott Padgett,,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Don Ford,94.0,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA
Mike Muscala,90.8,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Mark Landsberger,90.0,3.4,2.2,2.2,1.9,1.7,0.4,0.3,NA
Derrick Williams,90.0,3.6,3,2.6,2.1,1.8,1.1,0,NA
Lawrence Funderburke,89.7,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA
E.C. Coleman,87.5,3.2,2.7,2.6,2.5,1.7,0.1,NA,NA
Lavoy Allen,87.1,3.7,2.8,2.5,1.7,1.6,1.5,NA,NA
Ron Behagen,86.2,4.3,2.4,2.2,2,1.8,0.2,0.1,NA
Mike Scott,85.7,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA
Tim Bassett,84.7,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA
