Season,Team,Lg,Salary
2014-15,Miami Heat,NBA,"$507,336"
2015-16,Memphis Grizzlies,NBA,"$845,059"
2015-16,New Orleans Pelicans,NBA,"$74,564"
2016-17,Memphis Grizzlies,NBA,"$2,898,000"
2017-18,Detroit Pistons,NBA,"$3,028,410"
2018-19,Philadelphia 76ers,NBA,"$1,621,415"
Career,(may be incomplete),,"$8,974,784"
