Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Scot Pollard,,6.8,5.4,5.1,2.1,1.9,1.4,1.1,1,0.9,0.6,0.2,NA,NA,NA
Kendrick Perkins,89.2,6.2,5.6,5.2,2.5,2.3,2,1.4,1,0.8,0.7,0.1,0.1,0,-0.1
Joel Przybilla,85.9,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1,0,NA
Jamaal Magloire,82.2,7.6,6.7,5.7,2.6,2,1.3,1.1,0.6,0.6,0.3,-0.2,-0.6,NA,NA
Andris Biedriņš,80.9,8,6.7,5.4,2.9,2.6,1.6,1.3,1.2,1.1,0,NA,NA,NA,NA
Dennis Awtrey,79.1,5.2,5,3.1,2.1,1.8,1.4,1,1,0.7,0.6,0.6,0,NA,NA
Gene Moore,77.8,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA,NA,NA,NA,NA,NA
Connie Simmons,77.8,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.1,NA,NA,NA,NA,NA
Dale Schlueter,76.7,6.3,4.4,3,2,1.6,1.2,1.1,1.1,0.1,0,NA,NA,NA,NA
Felton Spencer,74.9,5.6,4.7,2.4,2,2,1.3,1.1,0.9,0.5,0.4,0.3,-0.1,NA,NA
Jack Nichols,74.8,6.7,4.4,4.3,4.1,2.5,1.6,1,0.3,NA,NA,NA,NA,NA,NA
