Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,24,BOS,NBA,SG,1,0,23:00,9,18,0.5,1,6,0.167,0,0,NA,3,7,3,1,0,0,1,19
2002-03,25,BOS,NBA,SG,1,0,18:00,4,11,0.364,0,5,0,0,0,NA,0,2,3,4,0,2,1,8
2003-04,26,BOS,NBA,SG,1,0,14:00,4,8,0.5,0,1,0,0,0,NA,0,1,2,1,0,1,2,8
2004-05,27,BOS,NBA,SF,1,0,14:39,4,7,0.571,0,2,0,1,1,1,0,3,3,2,0,0,2,9
2005-06,28,BOS,NBA,SF,1,0,15:00,3,6,0.5,0,0,NA,1,2,0.5,0,2,1,1,0,0,0,7
2007-08,30,BOS,NBA,SF,1,0,12:37,5,9,0.556,0,3,0,0,0,NA,0,4,2,0,0,2,0,10
2008-09,31,BOS,NBA,SF,1,0,19:39,6,11,0.545,1,5,0.2,5,6,0.833,1,4,2,2,0,1,3,18
2009-10,32,BOS,NBA,SF,1,0,11:36,3,6,0.5,2,3,0.667,0,0,NA,0,0,0,1,0,1,0,8
2010-11,33,BOS,NBA,SF,1,0,11:12,2,6,0.333,1,3,0.333,1,2,0.5,0,1,2,0,0,3,0,6
2011-12,34,BOS,NBA,SF,1,0,11:07,1,8,0.125,1,4,0.25,0,0,NA,1,2,0,0,1,2,1,3
Career,NA,,NBA,,10,0,151,41,90,0.456,6,32,0.188,8,11,0.727,5,26,18,12,1,12,10,96
