Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,22,DET,NBA,SF,42,5,10.4,1.3,2.8,0.449,0.5,1.1,0.426,0.8,1.7,0.465,0.534,0.3,0.4,0.647,0.1,1,1.1,0.6,0.2,0.3,0.5,0.6,3.3
2003-04,23,DET,NBA,SF,82,80,32.9,4.1,8.8,0.467,0.7,1.9,0.363,3.4,6.9,0.496,0.507,1.3,1.7,0.766,1.1,3.6,4.8,2.3,0.8,0.8,1.5,1.8,10.3
2004-05,24,DET,NBA,SF,82,82,37.1,5.7,11.7,0.487,0.6,1.7,0.341,5.1,10.1,0.512,0.511,2.7,3.3,0.807,1.6,3.7,5.3,3,0.7,0.9,1.6,2,14.7
2005-06,25,DET,NBA,SF,82,82,35.3,5.5,12.2,0.455,0.8,2.2,0.35,4.8,10,0.479,0.487,2.2,2.9,0.765,1.3,3,4.2,2.3,0.8,0.5,1.1,1.2,14.1
2006-07,26,DET,NBA,SF,82,82,36.6,5.6,12.2,0.46,1,2.6,0.386,4.6,9.6,0.48,0.501,2.1,2.7,0.768,1.8,3.5,5.2,2.8,0.6,0.7,1.2,1.4,14.3
2007-08,27,DET,NBA,SF,82,82,32.9,5.1,11.5,0.448,0.6,1.8,0.363,4.5,9.7,0.463,0.476,2.3,2.9,0.768,1.3,3.5,4.9,3.3,0.5,0.4,1.1,1.1,13.2
2008-09,28,DET,NBA,SF,82,82,37.3,5.6,12.4,0.45,0.7,1.7,0.397,4.9,10.7,0.458,0.477,2.3,3,0.778,1.6,4.2,5.8,3.1,0.5,0.6,1.2,1.3,14.2
2009-10,29,DET,NBA,SF,49,49,34,5.8,11.8,0.486,0.6,1.5,0.37,5.2,10.3,0.503,0.509,1.4,2,0.714,1.4,3.6,5.1,3.3,0.7,0.4,1.2,1.6,13.5
2010-11,30,DET,NBA,SF,78,78,32.8,6.1,12.8,0.473,0.4,1.3,0.347,5.6,11.6,0.486,0.49,1.5,2.2,0.702,1,3.2,4.2,2.8,0.4,0.5,1.1,1.2,14.1
2011-12,31,DET,NBA,SF,63,63,33.1,5.3,12.7,0.421,0.6,1.7,0.356,4.7,11,0.431,0.444,1.4,1.8,0.774,1.1,3.3,4.5,2.4,0.4,0.5,1.2,1.2,12.7
2012-13,32,TOT,NBA,SF,82,81,32.1,4.4,10,0.438,0.5,1.1,0.404,3.9,8.9,0.442,0.461,1.2,1.6,0.738,0.9,3.6,4.4,2.4,0.6,0.3,1.1,1,10.4
2012-13,32,DET,NBA,SF,45,45,32.4,4.8,10.8,0.444,0.5,1.2,0.434,4.3,9.6,0.445,0.468,1.6,2.1,0.796,1,3.7,4.6,2.5,0.5,0.3,1.2,1,11.7
2012-13,32,MEM,NBA,SF,37,36,31.7,3.9,9.1,0.429,0.4,1.1,0.366,3.5,8,0.437,0.451,0.6,1,0.595,0.8,3.4,4.2,2.3,0.7,0.3,0.9,1.1,8.8
2013-14,33,MEM,NBA,SF,76,76,25.6,2.6,6.5,0.407,0.3,0.9,0.29,2.4,5.6,0.426,0.427,0.4,0.8,0.567,0.4,2.7,3.1,1.6,0.5,0.3,0.5,0.8,6
2014-15,34,TOT,NBA,SF,58,16,24.1,3.1,6.9,0.44,0.5,1.2,0.463,2.5,5.8,0.436,0.479,0.8,1.1,0.754,0.9,2.7,3.6,1.6,0.5,0.3,0.6,0.9,7.5
2014-15,34,MEM,NBA,SF,26,9,24.2,2.9,7,0.41,0.6,1.3,0.455,2.3,5.8,0.4,0.451,1,1.2,0.833,0.8,2.4,3.2,1.4,0.3,0.2,0.6,0.8,7.3
2014-15,34,BOS,NBA,SF,9,0,22,3.7,6.6,0.559,0.6,0.9,0.625,3.1,5.7,0.549,0.602,0.6,0.7,0.833,0.7,2.7,3.3,2,0.6,0.2,0.4,0.8,8.4
2014-15,34,DET,NBA,SF,23,7,24.8,3,7,0.431,0.5,1.1,0.423,2.5,5.8,0.433,0.466,0.8,1.3,0.655,1.1,3.1,4.2,1.7,0.7,0.3,0.7,1.1,7.3
2015-16,35,MIN,NBA,SF,77,44,19,1.3,3,0.445,0.1,0.3,0.174,1.3,2.7,0.476,0.454,0.2,0.2,0.684,0.4,1.5,1.9,0.9,0.5,0.2,0.4,0.8,2.9
Career,NA,,NBA,,1017,902,31,4.5,9.9,0.455,0.6,1.5,0.367,3.9,8.4,0.47,0.483,1.5,2,0.756,1.1,3.2,4.3,2.4,0.6,0.5,1,1.2,11.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 seasons,NA,DET,NBA,,792,737,33,5.1,11.1,0.459,0.6,1.7,0.371,4.4,9.4,0.475,0.488,1.8,2.4,0.764,1.3,3.4,4.7,2.6,0.6,0.6,1.2,1.3,12.6
3 seasons,NA,MEM,NBA,,139,121,27,3,7.3,0.414,0.4,1,0.35,2.7,6.2,0.425,0.439,0.6,0.9,0.638,0.6,2.8,3.4,1.7,0.5,0.3,0.7,0.9,7
1 season,NA,MIN,NBA,,77,44,19,1.3,3,0.445,0.1,0.3,0.174,1.3,2.7,0.476,0.454,0.2,0.2,0.684,0.4,1.5,1.9,0.9,0.5,0.2,0.4,0.8,2.9
1 season,NA,BOS,NBA,,9,0,22,3.7,6.6,0.559,0.6,0.9,0.625,3.1,5.7,0.549,0.602,0.6,0.7,0.833,0.7,2.7,3.3,2,0.6,0.2,0.4,0.8,8.4
