Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Luc Longley,,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0
Vitaly Potapenko,85.1,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1
Jim Davis,84.9,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,NA,NA
Nat Clifton,84.3,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,NA,NA
Leon Douglas,83.6,3.6,3.2,3.1,2.1,2.1,1,0,NA,NA,NA
Joel Anthony,83.3,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2
Len Elmore,80.4,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0
Adonal Foyle,79.8,4,3.4,2.8,1.9,1.2,1.1,1.1,1,0.7,-0.1
Bill Wennington,79.8,3.5,2.8,2.3,2.1,2,1.3,1.2,0.9,0.5,0.4
John Henson,79.1,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA,NA,NA
Mike Brown,78.8,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7,0.1,-0.4
