Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Luke Walton,,3.8,3.2,2,2,1.6,0.8,0.5,0.3,-0.2,-0.4,NA
Lawrence Funderburke,88.4,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA,NA,NA,NA
George Johnson,86.4,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA,NA,NA
Danny Vranes,85.9,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA,NA
Toby Kimball,85.7,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0,NA,NA
Wally Walker,83.2,3.5,2.1,2,1.9,1.8,0.9,0.5,0.1,NA,NA,NA
Mike O'Koren,82.8,4.1,3.8,2,1.9,1.5,1.2,0.1,-0.1,NA,NA,NA
Derrick Williams,82.7,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA,NA,NA
Duane Ferrell,82.2,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,0,-0.1,-0.2
Walter McCarty,82.0,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0,0,-0.2,NA
Don Ford,81.4,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA,NA,NA,NA
