Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983-84,23,SAS,NBA,PG,49,0,9.3,1.2,2.8,0.445,0.1,0.4,0.182,1.2,2.3,0.496,0.46,0.3,0.5,0.615,0.1,0.6,0.7,3,0.2,0,0.7,1,2.9
1984-85,24,SAS,NBA,PG,78,1,16.1,2.5,4.9,0.509,0.1,0.4,0.294,2.4,4.5,0.53,0.522,1.1,1.3,0.84,0.2,0.6,0.9,2.8,0.6,0,1,1.5,6.2
1985-86,25,CHI,NBA,PG,75,3,20.9,2,4.4,0.466,0.2,0.7,0.3,1.8,3.7,0.496,0.489,1,1.2,0.804,0.2,1,1.3,3.7,0.7,0,0.8,2.3,5.3
1986-87,26,CHI,NBA,PG,82,64,32.8,4.7,9.7,0.487,0.6,1.7,0.371,4.1,8,0.511,0.52,1.3,1.6,0.809,0.3,1.4,1.7,5.7,0.8,0.1,1.3,2.5,11.3
1987-88,27,CHI,NBA,PG,81,30,23.3,3.5,7.2,0.493,0.4,1.2,0.347,3.1,6,0.522,0.521,0.4,0.6,0.733,0.2,1.1,1.3,3.7,0.6,0,0.8,1.9,7.9
1988-89,28,CHI,NBA,PG,78,20,22.3,3.2,6.6,0.48,0.6,1.7,0.331,2.6,4.9,0.532,0.522,0.4,0.5,0.861,0.2,1,1.2,3.9,0.7,0.1,0.9,2.1,7.3
1989-90,29,CHI,NBA,PG,82,82,28.8,4.5,8.6,0.516,0.4,1.1,0.359,4,7.5,0.539,0.539,0.7,0.8,0.824,0.3,1.1,1.5,4.1,1,0.1,1,2.1,10
1990-91,30,CHI,NBA,PG,82,82,24,3.9,7,0.548,0.5,1.2,0.438,3.4,5.9,0.571,0.585,0.4,0.5,0.829,0.2,0.9,1.1,3.6,0.8,0,0.8,1.7,8.7
1991-92,31,CHI,NBA,PG,79,79,24.6,3.3,6.2,0.528,0.2,0.6,0.273,3.1,5.6,0.553,0.54,0.4,0.5,0.784,0.3,0.9,1.2,3.1,0.6,0.1,0.6,1.8,7
1992-93,32,CHI,NBA,PG,59,8,17.5,1.8,3.9,0.451,0.3,0.7,0.463,1.5,3.3,0.448,0.491,0.3,0.3,0.85,0.2,0.7,0.8,2.3,0.6,0,0.5,1.7,4.2
1993-94,33,CHI,NBA,PG,27,0,12.7,1.1,2.5,0.441,0.3,0.8,0.409,0.8,1.7,0.457,0.507,0,0.1,0.5,0.1,0.6,0.7,1.2,0.3,0.1,0.2,0.7,2.6
Career,NA,,NBA,,772,369,22.4,3.1,6.2,0.499,0.4,1,0.355,2.8,5.2,0.527,0.528,0.6,0.8,0.804,0.2,1,1.2,3.6,0.7,0.1,0.8,1.9,7.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,CHI,NBA,,645,368,24.1,3.3,6.7,0.5,0.4,1.1,0.363,2.9,5.5,0.528,0.53,0.6,0.7,0.807,0.2,1,1.2,3.7,0.7,0.1,0.8,2,7.6
2 seasons,NA,SAS,NBA,,127,1,13.5,2,4.1,0.492,0.1,0.4,0.25,1.9,3.7,0.521,0.506,0.8,1,0.794,0.2,0.6,0.8,2.9,0.4,0,0.9,1.3,4.9
